#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
北极	北極	<span class="tone3">běi</span> <span class="tone2">jí</span>	<ol><li>the North Pole; the Arctic Pole</li><li>the north magnetic pole</li></ol>			
被动	被動	<span class="tone4">bèi</span> <span class="tone4">dòng</span>	<ol><li>passive</li></ol>			
辈	輩	<span class="tone4">bèi</span>	<ol><li>lifetime</li><li>generation</li><li>group of people</li><li>class</li><li>classifier for generations</li><li>(literary) classifier for people</li></ol>			<span class="nobr">倍</span> <span class="nobr">背</span> <span class="nobr">被</span>
本人		<span class="tone3">běn</span> <span class="tone2">rén</span>	<ol><li>I; me; myself</li><li>oneself; yourself; himself; herself; the person concerned</li></ol>			
鼻子		<span class="tone2">bí</span> <span class="tone5">zi</span>	<ol><li>nose</li></ol>	个|個(<span class="tone4">gè</span>), 只|隻(<span class="tone1">zhī</span>)		
比方		<span class="tone3">bǐ</span> <span class="tone5">fang</span>	<ol><li>analogy</li><li>instance</li><li>for instance</li></ol>			
比重		<span class="tone3">bǐ</span> <span class="tone4">zhòng</span>	<ol><li>proportion</li><li>specific gravity</li></ol>			
彼此		<span class="tone3">bǐcǐ</span>	<ol><li>each other; one another</li></ol>			
必		<span class="tone4">bì</span>	<ol><li>certainly</li><li>must</li><li>will</li><li>necessarily</li></ol>			<span class="nobr">避</span>
必需		<span class="tone4">bì</span> <span class="tone1">xū</span>	<ol><li>to need</li><li>to require</li><li>essential</li><li>indispensable</li></ol>			<span class="nobr">必须</span>
毕竟	畢竟	<span class="tone4">bì</span> <span class="tone4">jìng</span>	<ol><li>after all</li><li>all in all</li><li>when all is said and done</li><li>in the final analysis</li></ol>			
闭幕	閉幕	<span class="tone4">bì</span> <span class="tone4">mù</span>	<ol><li>the curtain falls</li><li>lower the curtain</li><li>to come to an end (of a meeting)</li></ol>			
闭幕式	閉幕式	<span class="tone4">bì</span> <span class="tone4">mù</span> <span class="tone4">shì</span>	<ol><li>closing ceremony</li></ol>			
边境	邊境	<span class="tone1">biān</span> <span class="tone4">jìng</span>	<ol><li>frontier; border</li></ol>			
编辑	編輯	<span class="tone1">biān</span> <span class="tone2">jí</span>	<ol><li>to edit</li><li>to compile</li><li>editor</li><li>compiler</li></ol>			
变动	變動	<span class="tone4">biàn</span> <span class="tone4">dòng</span>	<ol><li>to change</li><li>to fluctuate</li><li>change</li><li>fluctuation</li></ol>			
便利		<span class="tone4">biàn</span> <span class="tone4">lì</span>	<ol><li>convenient</li><li>easy</li><li>to facilitate</li></ol>			
便条	便條	<span class="tone4">biàn</span> <span class="tone2">tiáo</span>	<ol><li>(informal) note</li></ol>	张|張(<span class="tone1">zhāng</span>), 个|個(<span class="tone4">gè</span>)		
便于	便於	<span class="tone4">biàn</span> <span class="tone2">yú</span>	<ol><li>easy to; convenient for</li></ol>			
宾馆	賓館	<span class="tone1">bīn</span> <span class="tone3">guǎn</span>	<ol><li>guesthouse</li><li>lodge</li><li>hotel</li></ol>	个|個(<span class="tone4">gè</span>), 家(<span class="tone1">jiā</span>)		
饼	餅	<span class="tone3">bǐng</span>	<ol><li>round flat cake</li><li>cookie</li><li>cake</li><li>pastry</li></ol>	张|張(<span class="tone1">zhāng</span>)		
饼干	餅乾	<span class="tone3">bǐng</span> <span class="tone1">gān</span>	<ol><li>biscuit; cracker; cookie</li></ol>	片(<span class="tone4">piàn</span>), 块|塊(<span class="tone4">kuài</span>)		
病毒		<span class="tone4">bìng</span> <span class="tone2">dú</span>	<ol><li>virus</li></ol>			
玻璃		<span class="tone1">bō</span> <span class="tone5">li</span>	<ol><li>glass</li><li>(slang) male homosexual</li></ol>	张|張(<span class="tone1">zhāng</span>), 块|塊(<span class="tone4">kuài</span>)		
博客		<span class="tone2">bó</span> <span class="tone4">kè</span>	<ol><li>blog (loanword)</li><li>weblog</li><li>blogger</li></ol>			
博览会	博覽會	<span class="tone2">bó</span> <span class="tone3">lǎn</span> <span class="tone4">huì</span>	<ol><li>exposition</li><li>international fair</li></ol>			
博士		<span class="tone2">bóshì</span>	<ol><li>doctor (as an academic degree)</li><li>(old) person specialized in a skill or trade</li><li>(old) court academician</li></ol>			
博物馆	博物館	<span class="tone2">bó</span> <span class="tone4">wù</span> <span class="tone3">guǎn</span>	<ol><li>museum</li></ol>			
薄弱		<span class="tone2">bó</span> <span class="tone4">ruò</span>	<ol><li>weak; frail</li></ol>			
不顾	不顧	<span class="tone4">bù</span> <span class="tone4">gù</span>	<ol><li>in spite of; regardless of</li></ol>			
不利		<span class="tone4">bù</span> <span class="tone4">lì</span>	<ol><li>unfavorable</li><li>disadvantageous</li><li>harmful</li><li>detrimental</li></ol>			
不耐烦	不耐煩	<span class="tone4">bù</span> <span class="tone4">nài</span> <span class="tone2">fán</span>	<ol><li>impatient</li><li>to lose patience</li></ol>			
不幸		<span class="tone4">bù</span> <span class="tone4">xìng</span>	<ol><li>misfortune</li><li>adversity</li><li>unfortunate</li><li>sad</li><li>unfortunately</li></ol>	个|個(<span class="tone4">gè</span>)		
不易		<span class="tone4">bù</span> <span class="tone4">yì</span>	<ol><li>not easy to do sth</li><li>difficult</li><li>unchanging</li></ol>			
补偿	補償	<span class="tone3">bǔ</span> <span class="tone2">cháng</span>	<ol><li>to compensate</li><li>to make up</li></ol>			
补贴	補貼	<span class="tone3">bǔ</span> <span class="tone1">tiē</span>	<ol><li>to subsidize</li><li>subsidy</li><li>allowance</li><li>to supplement (one's salary etc)</li><li>benefit</li></ol>			
不曾		<span class="tone4">bù</span> <span class="tone2">céng</span>	<ol><li>hasn't yet; hasn't ever</li></ol>			
不得了		<span class="tone4">bù</span> <span class="tone2">dé</span> <span class="tone3">liǎo</span>	<ol><li>desperately serious</li><li>disastrous</li><li>extremely</li><li>exceedingly</li></ol>			
不敢当	不敢當	<span class="tone4">bù</span> <span class="tone3">gǎn</span> <span class="tone1">dāng</span>	<ol><li>lit. I dare not (accept the honor); fig. I don't deserve your praise</li><li>you flatter me</li></ol>			
不良		<span class="tone4">bù</span> <span class="tone2">liáng</span>	<ol><li>bad</li><li>harmful</li><li>unhealthy</li></ol>			
不免		<span class="tone4">bù</span> <span class="tone3">miǎn</span>	<ol><li>inevitably</li></ol>			
不能不		<span class="tone4">bù</span> <span class="tone2">néng</span> <span class="tone4">bù</span>	<ol><li>have to</li><li>cannot but</li></ol>			
不时	不時	<span class="tone4">bù</span> <span class="tone2">shí</span>	<ol><li>from time to time</li><li>now and then</li><li>occasionally</li><li>frequently</li></ol>			
不停		<span class="tone4">bù</span> <span class="tone2">tíng</span>	<ol><li>incessant</li></ol>			
不许	不許	<span class="tone4">bù</span> <span class="tone3">xǔ</span>	<ol><li>not to allow</li><li>must not</li><li>can't</li></ol>			
不止		<span class="tone4">bù</span> <span class="tone3">zhǐ</span>	<ol><li>incessantly</li><li>without end</li><li>more than</li><li>not limited to</li></ol>			
不足		<span class="tone4">bù</span> <span class="tone2">zú</span>	<ol><li>insufficient</li><li>lacking</li><li>deficiency</li><li>not enough</li><li>inadequate</li><li>not worth</li><li>cannot</li><li>should not</li></ol>			
部位		<span class="tone4">bù</span> <span class="tone4">wèi</span>	<ol><li>part (esp. of the body, but also of a vegetable, e.g. the root, or a garment, e.g. the sleeve, etc)</li></ol>			
猜		<span class="tone1">cāi</span>	<ol><li>to guess</li></ol>			
猜测	猜測	<span class="tone1">cāi</span> <span class="tone4">cè</span>	<ol><li>to guess</li><li>to conjecture</li><li>to surmise</li></ol>			
裁判		<span class="tone2">cáipàn</span>	<ol><li>(law) to judge; to adjudicate; verdict; judgement</li><li>(sports) to referee</li><li>(sports) umpire; referee; judge</li></ol>			
采购	採購	<span class="tone3">cǎi</span> <span class="tone4">gòu</span>	<ol><li>to procure (for an enterprise etc)</li><li>to purchase</li></ol>			
彩票		<span class="tone3">cǎi</span> <span class="tone4">piào</span>	<ol><li>lottery ticket</li></ol>			
餐馆	餐館	<span class="tone1">cān</span> <span class="tone3">guǎn</span>	<ol><li>restaurant</li></ol>	家(<span class="tone1">jiā</span>)		
餐厅	餐廳	<span class="tone1">cān</span> <span class="tone1">tīng</span>	<ol><li>dining hall</li><li>dining room</li><li>restaurant</li></ol>	间|間(<span class="tone1">jiān</span>), 家(<span class="tone1">jiā</span>)		
餐饮	餐飲	<span class="tone1">cān</span> <span class="tone3">yǐn</span>	<ol><li>food and beverage</li><li>catering</li><li>repast</li></ol>			
草原		<span class="tone3">cǎo</span> <span class="tone2">yuán</span>	<ol><li>grassland</li><li>prairie</li></ol>	片(<span class="tone4">piàn</span>)		
册	冊	<span class="tone4">cè</span>	<ol><li>book</li><li>booklet</li><li>classifier for books</li></ol>			<span class="nobr">测</span>
层次	層次	<span class="tone2">céng</span> <span class="tone4">cì</span>	<ol><li>layer</li><li>level</li><li>gradation</li><li>arrangement of ideas</li><li>(a person's) standing</li></ol>			
叉		<span class="tone1">chā</span>	<ol><li>fork</li><li>pitchfork</li><li>prong</li><li>pick</li><li>cross</li><li>intersect</li><li>"X"</li></ol>			<span class="nobr">差</span>
叉		<span class="tone2">chá</span>	<ol><li>to cross</li><li>be stuck</li></ol>			<span class="nobr">查</span> <span class="nobr">茶</span>
叉		<span class="tone3">chǎ</span>	<ol><li>to diverge</li><li>to open (as legs)</li></ol>			
叉子		<span class="tone1">chā</span> <span class="tone5">zi</span>	<ol><li>fork</li></ol>	把(<span class="tone3">bǎ</span>)		
差别	差別	<span class="tone1">chā</span> <span class="tone2">bié</span>	<ol><li>difference; distinction; disparity</li></ol>			
差距		<span class="tone1">chā</span> <span class="tone4">jù</span>	<ol><li>disparity</li><li>gap</li></ol>			
插		<span class="tone1">chā</span>	<ol><li>to insert</li><li>stick in</li><li>pierce</li><li>to take part in</li><li>to interfere</li><li>to interpose</li></ol>			<span class="nobr">叉</span> <span class="nobr">差</span>
插	揷	<span class="tone1">chā</span>	<ol><li>old variant of 插</li></ol>			<span class="nobr">叉</span> <span class="nobr">差</span>
查询	查詢	<span class="tone2">chá</span> <span class="tone2">xún</span>	<ol><li>to check</li><li>to inquire</li><li>to consult (a document etc)</li><li>inquiry</li><li>query</li></ol>			
差点儿	差點兒	<span class="tone4">chà</span> <span class="tone3">diǎnr</span>	<ol><li>erhua variant of 差點｜差点</li></ol>			
拆		<span class="tone1">chāi</span>	<ol><li>to tear open</li><li>to tear down</li><li>to tear apart</li><li>to open</li></ol>			<span class="nobr">差</span>
拆除		<span class="tone1">chāi</span> <span class="tone2">chú</span>	<ol><li>to tear down</li><li>to demolish</li><li>to dismantle</li><li>to remove</li></ol>			
产业	產業	<span class="tone3">chǎn</span> <span class="tone4">yè</span>	<ol><li>industry</li><li>estate</li><li>property</li><li>industrial</li></ol>			
长度	長度	<span class="tone2">cháng</span> <span class="tone4">dù</span>	<ol><li>length</li></ol>			
长寿	長壽	<span class="tone2">cháng</span> <span class="tone4">shòu</span>	<ol><li>longevity</li><li>long-lived</li></ol>			
长寿	長壽	<span class="tone2">Chángshòu</span>	<ol><li>Changshou, a district of Chongqing 重慶｜重庆</li></ol>			
肠	腸	<span class="tone2">cháng</span>	<ol><li>intestines</li></ol>			<span class="nobr">场</span> <span class="nobr">常</span> <span class="nobr">长</span>
肠	膓	<span class="tone2">cháng</span>	<ol><li>old variant of 腸｜肠</li></ol>			<span class="nobr">场</span> <span class="nobr">常</span> <span class="nobr">长</span>
尝	嘗	<span class="tone2">cháng</span>	<ol><li>to taste; to try (food)</li><li>to experience</li><li>(literary) ever; once</li></ol>			<span class="nobr">场</span> <span class="nobr">常</span> <span class="nobr">肠</span> <span class="nobr">长</span>
尝	嚐	<span class="tone2">cháng</span>	<ol><li>to taste; to experience (variant of 嘗｜尝)</li></ol>			<span class="nobr">场</span> <span class="nobr">常</span> <span class="nobr">肠</span> <span class="nobr">长</span>
尝	甞	<span class="tone2">cháng</span>	<ol><li>old variant of 嘗｜尝</li></ol>			<span class="nobr">场</span> <span class="nobr">常</span> <span class="nobr">肠</span> <span class="nobr">长</span>
尝试	嘗試	<span class="tone2">cháng</span> <span class="tone4">shì</span>	<ol><li>to try; to attempt</li></ol>	次(<span class="tone4">cì</span>)		
厂长	廠長	<span class="tone3">chǎng</span> <span class="tone3">zhǎng</span>	<ol><li>factory director</li></ol>			
场面	場面	<span class="tone3">chǎng</span> <span class="tone4">miàn</span>	<ol><li>scene</li><li>spectacle</li><li>occasion</li><li>situation</li></ol>			
倡导	倡導	<span class="tone4">chàng</span> <span class="tone3">dǎo</span>	<ol><li>to advocate</li><li>to initiate</li><li>to propose</li><li>to be a proponent of (an idea or school of thought)</li></ol>			
超越		<span class="tone1">chāo</span> <span class="tone4">yuè</span>	<ol><li>to surpass; to exceed; to transcend</li></ol>			
车主	車主	<span class="tone1">chē</span> <span class="tone3">zhǔ</span>	<ol><li>vehicle owner</li></ol>			
称号	稱號	<span class="tone1">chēng</span> <span class="tone4">hào</span>	<ol><li>name</li><li>term of address</li><li>title</li></ol>			
成本		<span class="tone2">chéng</span> <span class="tone3">běn</span>	<ol><li>(manufacturing, production etc) costs</li></ol>			
成交		<span class="tone2">chéng</span> <span class="tone1">jiāo</span>	<ol><li>to complete a contract</li><li>to reach a deal</li></ol>			
成效		<span class="tone2">chéng</span> <span class="tone4">xiào</span>	<ol><li>effect</li><li>result</li></ol>			
成语	成語	<span class="tone2">chéng</span> <span class="tone3">yǔ</span>	<ol><li>Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage</li></ol>	条|條(<span class="tone2">tiáo</span>), 本(<span class="tone3">běn</span>), 句(<span class="tone4">jù</span>)		
承办	承辦	<span class="tone2">chéng</span> <span class="tone4">bàn</span>	<ol><li>to undertake</li><li>to accept a contract</li></ol>			
乘		<span class="tone2">chéng</span>	<ol><li>to ride</li><li>to mount</li><li>to make use of</li><li>to avail oneself of</li><li>to take advantage of</li><li>to multiply (math.)</li><li>Buddhist sect or creed</li></ol>			<span class="nobr">城</span> <span class="nobr">成</span>
乘	椉	<span class="tone2">chéng</span>	<ol><li>old variant of 乘</li></ol>			<span class="nobr">城</span> <span class="nobr">成</span>
乘		<span class="tone2">Chéng</span>	<ol><li>surname Cheng</li></ol>			<span class="nobr">成</span>
乘		<span class="tone4">shèng</span>	<ol><li>(archaic) four horse military chariot</li><li>(archaic) four</li><li>generic term for history books</li></ol>			<span class="nobr">胜</span>
乘车	乘車	<span class="tone2">chéng</span> <span class="tone1">chē</span>	<ol><li>to ride (in a car or carriage)</li><li>to drive</li><li>to motor</li></ol>			
乘客		<span class="tone2">chéng</span> <span class="tone4">kè</span>	<ol><li>passenger</li></ol>			
乘坐		<span class="tone2">chéng</span> <span class="tone4">zuò</span>	<ol><li>to ride (in a vehicle)</li></ol>			
吃力		<span class="tone1">chī</span> <span class="tone4">lì</span>	<ol><li>to entail strenuous effort</li><li>to toil at a task</li><li>strenuous</li><li>laborious</li><li>strain</li></ol>			
池子		<span class="tone2">chí</span> <span class="tone5">zi</span>	<ol><li>pond</li><li>bathhouse pool</li><li>dance floor of a ballroom</li><li>(old) stalls (front rows in a theater)</li></ol>			
迟	遲	<span class="tone2">chí</span>	<ol><li>late</li><li>delayed</li><li>slow</li></ol>			
迟	遲	<span class="tone2">Chí</span>	<ol><li>surname Chi</li></ol>			
冲动	衝動	<span class="tone1">chōng</span> <span class="tone4">dòng</span>	<ol><li>to have an urge</li><li>to be impetuous</li><li>impulse</li><li>urge</li></ol>			
冲突	衝突	<span class="tone1">chōng</span> <span class="tone1">tū</span>	<ol><li>conflict</li><li>to conflict</li><li>clash of opposing forces</li><li>collision (of interests)</li><li>contention</li></ol>			
充足		<span class="tone1">chōng</span> <span class="tone2">zú</span>	<ol><li>adequate</li><li>sufficient</li><li>abundant</li></ol>			
愁		<span class="tone2">chóu</span>	<ol><li>to worry about</li></ol>			
丑		<span class="tone3">chǒu</span>	<ol><li>clown</li><li>2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox</li><li>ancient Chinese compass point: 30°</li></ol>			
丑	醜	<span class="tone3">chǒu</span>	<ol><li>shameful</li><li>ugly</li><li>disgraceful</li></ol>			
丑		<span class="tone3">Chǒu</span>	<ol><li>surname Chou</li></ol>			
臭		<span class="tone4">chòu</span>	<ol><li>stench</li><li>smelly</li><li>to smell (bad)</li><li>repulsive</li><li>loathsome</li><li>terrible</li><li>bad</li><li>severely</li><li>ruthlessly</li><li>dud (ammunition)</li></ol>			
臭		<span class="tone4">xiù</span>	<ol><li>sense of smell</li><li>smell bad</li></ol>			
出版		<span class="tone1">chū</span> <span class="tone3">bǎn</span>	<ol><li>to publish</li></ol>			
出差		<span class="tone1">chū</span> <span class="tone1">chāi</span>	<ol><li>to go on an official or business trip</li></ol>			
出汗		<span class="tone1">chū</span> <span class="tone4">hàn</span>	<ol><li>to perspire</li><li>to sweat</li></ol>			
出于	出於	<span class="tone1">chū</span> <span class="tone2">yú</span>	<ol><li>due to</li><li>to stem from</li></ol>			
初期		<span class="tone1">chū</span> <span class="tone1">qī</span>	<ol><li>initial stage</li><li>beginning period</li></ol>			
除非		<span class="tone2">chú</span> <span class="tone1">fēi</span>	<ol><li>only if (..., or otherwise, ...)</li><li>only when</li><li>only in the case that</li><li>unless</li></ol>			
除夕		<span class="tone2">Chú</span> <span class="tone1">xī</span>	<ol><li>lunar New Year's Eve</li></ol>			
厨房	廚房	<span class="tone2">chú</span> <span class="tone2">fáng</span>	<ol><li>kitchen</li></ol>	间|間(<span class="tone1">jiān</span>)		
处罚	處罰	<span class="tone3">chǔ</span> <span class="tone2">fá</span>	<ol><li>to penalize</li><li>to punish</li></ol>			
处分	處分	<span class="tone3">chǔ</span> <span class="tone4">fèn</span>	<ol><li>to discipline sb</li><li>to punish</li><li>disciplinary action</li><li>to deal with (a matter)</li></ol>	个|個(<span class="tone4">gè</span>)		
处在	處在	<span class="tone3">chǔ</span> <span class="tone4">zài</span>	<ol><li>to be situated at</li><li>to find oneself at</li></ol>			
传达	傳達	<span class="tone2">chuán</span> <span class="tone2">dá</span>	<ol><li>to pass on</li><li>to convey</li><li>to relay</li><li>to transmit</li><li>transmission</li></ol>			
传递	傳遞	<span class="tone2">chuán</span> <span class="tone4">dì</span>	<ol><li>to transmit; to pass on to sb else</li><li>(math.) transitive</li></ol>			
传真	傳真	<span class="tone2">chuán</span> <span class="tone1">zhēn</span>	<ol><li>fax</li><li>facsimile</li></ol>			
窗帘	窗簾	<span class="tone1">chuāng</span> <span class="tone2">lián</span>	<ol><li>window curtains</li></ol>			
闯	闖	<span class="tone3">chuǎng</span>	<ol><li>to rush</li><li>to charge</li><li>to dash</li><li>to break through</li><li>to temper oneself (through battling hardships)</li></ol>			
创立	創立	<span class="tone4">chuàng</span> <span class="tone4">lì</span>	<ol><li>to establish; to set up; to found</li></ol>			
辞典	辭典	<span class="tone2">cí</span> <span class="tone3">diǎn</span>	<ol><li>dictionary (variant of 詞典｜词典)</li></ol>	本(<span class="tone3">běn</span>), 部(<span class="tone4">bù</span>)		<span class="nobr">词典</span>
辞职	辭職	<span class="tone2">cí</span> <span class="tone2">zhí</span>	<ol><li>to resign</li></ol>			
此后	此後	<span class="tone3">cǐ</span> <span class="tone4">hòu</span>	<ol><li>after this</li><li>afterwards</li><li>hereafter</li></ol>			
此刻		<span class="tone3">cǐ</span> <span class="tone4">kè</span>	<ol><li>this moment</li><li>now</li><li>at present</li></ol>			
此时	此時	<span class="tone3">cǐ</span> <span class="tone2">shí</span>	<ol><li>now</li><li>this moment</li></ol>			
聪明	聰明	<span class="tone1">cōng</span> <span class="tone5">ming</span>	<ol><li>intelligent; clever; bright</li><li>acute (of sight and hearing)</li></ol>			
从而	從而	<span class="tone2">cóng</span> <span class="tone2">ér</span>	<ol><li>thus</li><li>thereby</li></ol>			
从中	從中	<span class="tone2">cóng</span> <span class="tone1">zhōng</span>	<ol><li>from within</li><li>therefrom</li></ol>			
脆		<span class="tone4">cuì</span>	<ol><li>brittle</li><li>fragile</li><li>crisp</li><li>crunchy</li><li>clear and loud voice</li><li>neat</li></ol>			
脆	脃	<span class="tone4">cuì</span>	<ol><li>old variant of 脆</li></ol>			
存款		<span class="tone2">cún</span> <span class="tone3">kuǎn</span>	<ol><li>to deposit money (in a bank etc)</li><li>bank savings</li><li>bank deposit</li></ol>			
寸		<span class="tone4">cùn</span>	<ol><li>a unit of length</li><li>inch</li><li>thumb</li></ol>			
达成	達成	<span class="tone2">dá</span> <span class="tone2">chéng</span>	<ol><li>to reach (an agreement)</li><li>to accomplish</li></ol>			
答		<span class="tone2">dá</span>	<ol><li>to answer</li><li>to reply</li><li>to respond</li></ol>			<span class="nobr">打</span>
答		<span class="tone1">dā</span>	<ol><li>bound form having the same meaning as the free word 答, used in 答應｜答应, 答理 etc</li></ol>			
答复	答覆	<span class="tone2">dá</span> <span class="tone4">fù</span>	<ol><li>to answer</li><li>to reply</li><li>Reply to: (in email header)</li></ol>			
打扮		<span class="tone3">dǎ</span> <span class="tone5">ban</span>	<ol><li>to decorate</li><li>to dress</li><li>to make up</li><li>to adorn</li><li>manner of dressing</li><li>style of dress</li></ol>			
打包		<span class="tone3">dǎ</span> <span class="tone1">bāo</span>	<ol><li>to wrap; to pack</li><li>to put leftovers in a doggy bag for take-out</li><li>(computing) to package (i.e. create an archive file)</li></ol>			
打击	打擊	<span class="tone3">dǎ</span> <span class="tone1">jī</span>	<ol><li>to hit</li><li>to strike</li><li>to attack</li><li>to crack down on sth</li><li>blow</li><li>(psychological) shock</li><li>percussion (music)</li></ol>			
打架		<span class="tone3">dǎ</span> <span class="tone4">jià</span>	<ol><li>to fight</li><li>to scuffle</li><li>to come to blows</li></ol>	场|場(<span class="tone2">cháng</span>)		
打扰	打擾	<span class="tone3">dǎ</span> <span class="tone3">rǎo</span>	<ol><li>to disturb</li><li>to bother</li><li>to trouble</li></ol>			
大胆	大膽	<span class="tone4">dà</span> <span class="tone3">dǎn</span>	<ol><li>brazen</li><li>audacious</li><li>outrageous</li><li>bold</li><li>daring</li><li>fearless</li></ol>			
大都		<span class="tone4">dà</span> <span class="tone1">dū</span>	<ol><li>for the most part</li><li>on the whole</li><li>metropolitan</li></ol>			
大都		<span class="tone4">Dà</span> <span class="tone1">dū</span>	<ol><li>Dadu, capital of China during the Yuan Dynasty (1280-1368), modern day Beijing</li></ol>			
大都		<span class="tone4">dà</span> <span class="tone1">dōu</span>	<ol><li>for the most part</li><li>on the whole</li><li>also pr. [da4 du1]</li></ol>			
大纲	大綱	<span class="tone4">dà</span> <span class="tone1">gāng</span>	<ol><li>synopsis</li><li>outline</li><li>program</li><li>leading principles</li></ol>			
大伙儿	大伙兒	<span class="tone4">dà</span> <span class="tone3">huǒr</span>	<ol><li>erhua variant of 大伙</li></ol>			
大奖赛	大獎賽	<span class="tone4">dà</span> <span class="tone3">jiǎng</span> <span class="tone4">sài</span>	<ol><li>grand prix</li></ol>			
大脑	大腦	<span class="tone4">dà</span> <span class="tone3">nǎo</span>	<ol><li>brain</li><li>cerebrum</li></ol>			
大事		<span class="tone4">dà</span> <span class="tone4">shì</span>	<ol><li>major event</li><li>major political event (war or change of regime)</li><li>major social event (wedding or funeral)</li><li>(do sth) in a big way</li></ol>	件(<span class="tone4">jiàn</span>), 桩|樁(<span class="tone1">zhuāng</span>)		
大厅	大廳	<span class="tone4">dà</span> <span class="tone1">tīng</span>	<ol><li>hall; lobby</li></ol>			
大象		<span class="tone4">dà</span> <span class="tone4">xiàng</span>	<ol><li>elephant</li></ol>	只|隻(<span class="tone1">zhī</span>)		
大熊猫	大熊貓	<span class="tone4">dà</span> <span class="tone2">xióng</span> <span class="tone1">māo</span>	<ol><li>giant panda (Ailuropoda melanoleuca)</li></ol>			
大于	大於	<span class="tone4">dà</span> <span class="tone2">yú</span>	<ol><li>greater than; bigger than; more than</li></ol>			
大致		<span class="tone4">dà</span> <span class="tone4">zhì</span>	<ol><li>more or less; roughly; approximately</li></ol>			
呆		<span class="tone1">dāi</span>	<ol><li>foolish</li><li>stupid</li><li>expressionless</li><li>blank</li><li>to stay</li></ol>			
待		<span class="tone1">dāi</span>	<ol><li>to stay</li></ol>			<span class="nobr">呆</span>
待		<span class="tone4">dài</span>	<ol><li>to wait</li><li>to treat</li><li>to deal with</li><li>to need</li><li>going to (do sth)</li><li>about to</li><li>intending to</li></ol>			<span class="nobr">代</span> <span class="nobr">大</span> <span class="nobr">带</span> <span class="nobr">戴</span> <span class="nobr">袋</span>
代价	代價	<span class="tone4">dài</span> <span class="tone4">jià</span>	<ol><li>price</li><li>cost</li><li>consideration (in share dealing)</li></ol>			
