#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
唱歌		<span class="tone4">chàng</span> <span class="tone1">gē</span>	<ol><li>to sing a song</li></ol>			
车	車	<span class="tone1">chē</span>	<ol><li>car</li><li>vehicle</li><li>machine</li><li>to shape with a lathe</li><li>Kangxi radical 159</li></ol>	辆|輛(<span class="tone4">liàng</span>)		
车	車	<span class="tone1">Chē</span>	<ol><li>surname Che</li></ol>			
车	車	<span class="tone1">jū</span>	<ol><li>war chariot (archaic)</li><li>rook (in Chinese chess)</li><li>rook (in chess)</li></ol>			
车票	車票	<span class="tone1">chē</span> <span class="tone4">piào</span>	<ol><li>ticket (for a bus or train)</li></ol>			
车站	車站	<span class="tone1">chē</span> <span class="tone4">zhàn</span>	<ol><li>rail station</li><li>bus stop</li></ol>	处|處(<span class="tone4">chù</span>), 个|個(<span class="tone4">gè</span>)		
吃		<span class="tone1">chī</span>	<ol><li>to eat; to consume</li><li>to eat at (a cafeteria etc)</li><li>to eradicate; to destroy</li><li>to absorb</li><li>to suffer (shock, injury, defeat etc)</li></ol>			
吃饭	吃飯	<span class="tone1">chī</span> <span class="tone4">fàn</span>	<ol><li>to have a meal</li><li>to eat</li><li>to make a living</li></ol>			
出		<span class="tone1">chū</span>	<ol><li>to go out; to come out</li><li>to arise; to occur</li><li>to produce; to yield</li><li>to go beyond; to exceed</li><li>(used after a verb to indicate an outward direction or a positive result)</li><li>classifier for dramas, plays, operas etc</li></ol>			
出来	出來	<span class="tone1">chū</span> <span class="tone2">lái</span>	<ol><li>to come out</li><li>to appear</li><li>to arise</li></ol>			
出来	出來	<span class="tone5">chu</span> <span class="tone5">lai</span>	<ol><li>(after a verb, indicates coming out, completion of an action, or ability to discern or detect)</li></ol>			
出去		<span class="tone1">chū</span> <span class="tone4">qù</span>	<ol><li>to go out</li></ol>			
穿		<span class="tone1">chuān</span>	<ol><li>to wear</li><li>to put on</li><li>to dress</li><li>to bore through</li><li>to pierce</li><li>to perforate</li><li>to penetrate</li><li>to pass through</li><li>to thread</li></ol>			
床		<span class="tone2">chuáng</span>	<ol><li>bed</li><li>couch</li><li>classifier for beds</li></ol>	张|張(<span class="tone1">zhāng</span>)		
次		<span class="tone4">cì</span>	<ol><li>next in sequence</li><li>second</li><li>the second (day, time etc)</li><li>secondary</li><li>vice-</li><li>sub-</li><li>infra-</li><li>inferior quality</li><li>substandard</li><li>order</li><li>sequence</li><li>hypo- (chemistry)</li><li>classifier for enumerated events: time</li></ol>			
从	從	<span class="tone2">cóng</span>	<ol><li>from; through; via</li><li>(bound form) to follow</li><li>(bound form) to obey</li><li>(bound form) to engage in (an activity)</li><li>(used before a negative) ever</li><li>(bound form) (Taiwan pr. [zong4]) retainer; attendant</li><li>(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate</li><li>(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor</li></ol>			
从	從	<span class="tone2">Cóng</span>	<ol><li>surname Cong</li></ol>			
错	錯	<span class="tone4">cuò</span>	<ol><li>mistake</li><li>wrong</li><li>bad</li><li>interlocking</li><li>complex</li><li>to grind</li><li>to polish</li><li>to alternate</li><li>to stagger</li><li>to miss</li><li>to let slip</li><li>to evade</li><li>to inlay with gold or silver</li></ol>			
错	錯	<span class="tone4">Cuò</span>	<ol><li>surname Cuo</li></ol>			
打		<span class="tone3">dǎ</span>	<ol><li>to beat</li><li>to strike</li><li>to hit</li><li>to break</li><li>to type</li><li>to mix up</li><li>to build</li><li>to fight</li><li>to fetch</li><li>to make</li><li>to tie up</li><li>to issue</li><li>to shoot</li><li>to calculate</li><li>to play (a game)</li><li>since</li><li>from</li></ol>			
打		<span class="tone2">dá</span>	<ol><li>dozen (loanword)</li></ol>			
打车	打車	<span class="tone3">dǎ</span> <span class="tone1">chē</span>	<ol><li>to take a taxi (in town)</li><li>to hitch a lift</li></ol>			
打电话	打電話	<span class="tone3">dǎ</span> <span class="tone4">diàn</span> <span class="tone4">huà</span>	<ol><li>to make a telephone call</li></ol>			
打开	打開	<span class="tone3">dǎ</span> <span class="tone1">kāi</span>	<ol><li>to open</li><li>to show (a ticket)</li><li>to turn on</li><li>to switch on</li></ol>			
打球		<span class="tone3">dǎ</span> <span class="tone2">qiú</span>	<ol><li>to play ball</li><li>to play with a ball</li></ol>			
大		<span class="tone4">dà</span>	<ol><li>big; large; great</li><li>older (than another person)</li><li>eldest (as in 大姐)</li><li>greatly; freely; fully</li><li>(dialect) father</li><li>(dialect) uncle (father's brother)</li></ol>			
大		<span class="tone4">dài</span>	<ol><li>see 大夫</li></ol>			
大学	大學	<span class="tone4">dà</span> <span class="tone2">xué</span>	<ol><li>university</li><li>college</li></ol>	所(<span class="tone3">suǒ</span>)		
大学	大學	<span class="tone4">Dà</span> <span class="tone2">xué</span>	<ol><li>the Great Learning, one of the Four Books 四書｜四书 in Confucianism</li></ol>			
大学生	大學生	<span class="tone4">dà</span> <span class="tone2">xué</span> <span class="tone1">shēng</span>	<ol><li>university student</li><li>college student</li></ol>			
到		<span class="tone4">dào</span>	<ol><li>to reach; to arrive</li><li>to leave for; to go to</li><li>to (a place); until (a time); up to (a point)</li><li>(verb complement indicating arriving at a place or reaching a point)</li><li>considerate; thoughtful; thorough</li></ol>			
得到		<span class="tone2">dé</span> <span class="tone4">dào</span>	<ol><li>to get; to obtain; to receive</li></ol>			
地		<span class="tone5">de</span>	<ol><li>-ly</li><li>structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct</li></ol>			
地		<span class="tone4">dì</span>	<ol><li>earth</li><li>ground</li><li>field</li><li>place</li><li>land</li></ol>	片(<span class="tone4">piàn</span>)		
的		<span class="tone5">de</span>	<ol><li>of; ~'s (possessive particle)</li><li>(used after an attribute)</li><li>(used to form a nominal expression)</li><li>(used at the end of a declarative sentence for emphasis)</li><li>also pr. [di4] or [di5] in poetry and songs</li></ol>			<span class="nobr">地</span>
的		<span class="tone1">dī</span>	<ol><li>a taxi; a cab (abbr. for 的士)</li></ol>			
的		<span class="tone2">dí</span>	<ol><li>really and truly</li></ol>			
的		<span class="tone4">dì</span>	<ol><li>(bound form) bull's-eye; target</li></ol>			<span class="nobr">地</span>
等		<span class="tone3">děng</span>	<ol><li>to wait for; to await</li><li>by the time; when; till</li><li>and so on; etc.; et al.</li><li>(bound form) class; rank; grade</li><li>(bound form) equal to; same as</li><li>(used to end an enumeration)</li><li>(literary) (plural suffix attached to a personal pronoun or noun)</li></ol>			
地点	地點	<span class="tone4">dì</span> <span class="tone3">diǎn</span>	<ol><li>place</li><li>site</li><li>location</li><li>venue</li></ol>	个|個(<span class="tone4">gè</span>)		
地方		<span class="tone4">dì</span> <span class="tone5">fang</span>	<ol><li>area</li><li>place</li><li>space</li><li>room</li><li>territory</li></ol>	处|處(<span class="tone4">chù</span>), 个|個(<span class="tone4">gè</span>), 块|塊(<span class="tone4">kuài</span>)		
地方		<span class="tone4">dì</span> <span class="tone1">fāng</span>	<ol><li>region</li><li>regional (away from the central administration)</li><li>local</li></ol>			
地上		<span class="tone4">dì</span> <span class="tone5">shang</span>	<ol><li>on the ground</li><li>on the floor</li></ol>			
地图	地圖	<span class="tone4">dì</span> <span class="tone2">tú</span>	<ol><li>map</li></ol>	张|張(<span class="tone1">zhāng</span>), 本(<span class="tone3">běn</span>)		
弟弟		<span class="tone4">dì</span> <span class="tone5">di</span>	<ol><li>younger brother</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>)		
弟		<span class="tone4">dì</span>	<ol><li>younger brother</li><li>junior male</li><li>I (modest word in letter)</li></ol>			<span class="nobr">地</span> <span class="nobr">的</span>
第		<span class="tone4">dì</span>	<ol><li>(prefix indicating ordinal number, as in 第六 "sixth")</li><li>(literary) grades in which successful candidates in the imperial examinations were placed</li><li>(old) residence of a high official</li><li>(literary) but; however</li><li>(literary) only; just</li></ol>			<span class="nobr">地</span> <span class="nobr">弟</span> <span class="nobr">的</span>
点	點	<span class="tone3">diǎn</span>	<ol><li>point</li><li>dot</li><li>drop</li><li>speck</li><li>o'clock</li><li>point (in space or time)</li><li>to draw a dot</li><li>to check on a list</li><li>to choose</li><li>to order (food in a restaurant)</li><li>to touch briefly</li><li>to hint</li><li>to light</li><li>to ignite</li><li>to pour a liquid drop by drop</li><li>(old) one fifth of a two-hour watch 更</li><li>dot stroke in Chinese characters</li><li>classifier for items</li></ol>			
电	電	<span class="tone4">diàn</span>	<ol><li>lightning</li><li>electricity</li><li>electric (bound form)</li><li>to get (or give) an electric shock</li><li>phone call or telegram etc</li><li>to send via telephone or telegram etc</li></ol>			
电话	電話	<span class="tone4">diàn</span> <span class="tone4">huà</span>	<ol><li>telephone</li><li>phone call</li><li>phone number</li></ol>	部(<span class="tone4">bù</span>), 通(<span class="tone1">tōng</span>)		
电脑	電腦	<span class="tone4">diàn</span> <span class="tone3">nǎo</span>	<ol><li>computer</li></ol>	台|臺(<span class="tone2">tái</span>)		
电视	電視	<span class="tone4">diànshì</span>	<ol><li>television; TV</li></ol>	台|臺(<span class="tone2">tái</span>), 部(<span class="tone4">bù</span>)		
电视机	電視機	<span class="tone4">diàn</span> <span class="tone4">shì</span> <span class="tone1">jī</span>	<ol><li>television set</li></ol>	台|臺(<span class="tone2">tái</span>)		
电影	電影	<span class="tone4">diàn</span> <span class="tone3">yǐng</span>	<ol><li>movie; film</li></ol>	部(<span class="tone4">bù</span>), 片(<span class="tone4">piàn</span>), 幕(<span class="tone4">mù</span>), 场|場(<span class="tone3">chǎng</span>)		
电影院	電影院	<span class="tone4">diàn</span> <span class="tone3">yǐng</span> <span class="tone4">yuàn</span>	<ol><li>cinema; movie theater</li></ol>	家(<span class="tone1">jiā</span>), 座(<span class="tone4">zuò</span>)		
东	東	<span class="tone1">dōng</span>	<ol><li>east</li><li>host (i.e. sitting on east side of guest)</li><li>landlord</li></ol>			
东	東	<span class="tone1">Dōng</span>	<ol><li>surname Dong</li></ol>			
东边	東邊	<span class="tone1">dōng</span> <span class="tone5">bian</span>	<ol><li>east</li><li>east side</li><li>eastern part</li><li>to the east of</li></ol>			
东西	東西	<span class="tone1">dōng</span> <span class="tone5">xi</span>	<ol><li>thing</li><li>stuff</li><li>person</li></ol>	个|個(<span class="tone4">gè</span>), 件(<span class="tone4">jiàn</span>)		
东西	東西	<span class="tone1">dōng</span> <span class="tone1">xī</span>	<ol><li>east and west</li></ol>			
动	動	<span class="tone4">dòng</span>	<ol><li>(of sth) to move</li><li>to set in movement</li><li>to displace</li><li>to touch</li><li>to make use of</li><li>to stir (emotions)</li><li>to alter</li></ol>			
动作	動作	<span class="tone4">dòng</span> <span class="tone4">zuò</span>	<ol><li>movement; motion; action (CL:個｜个)</li><li>to act; to move</li></ol>			
都		<span class="tone1">dōu</span>	<ol><li>all; both; entirely</li><li>(used for emphasis) even</li><li>already</li><li>(not) at all</li></ol>			
都		<span class="tone1">Dū</span>	<ol><li>surname Du</li></ol>			
都		<span class="tone1">dū</span>	<ol><li>capital city</li><li>metropolis</li></ol>			
读	讀	<span class="tone2">dú</span>	<ol><li>to read out; to read aloud</li><li>to read</li><li>to attend (school); to study (a subject in school)</li><li>to pronounce</li></ol>			
读	讀	<span class="tone4">dòu</span>	<ol><li>comma</li><li>phrase marked by pause</li></ol>			
读书	讀書	<span class="tone2">dú</span> <span class="tone1">shū</span>	<ol><li>to read a book</li><li>to study</li><li>to attend school</li></ol>			
对	對	<span class="tone4">duì</span>	<ol><li>right; correct</li><li>towards; at; for</li><li>concerning; regarding</li><li>to treat (sb a certain way)</li><li>to face</li><li>(bound form) opposite; facing; matching</li><li>to match together; to adjust</li><li>to fit; to suit</li><li>to answer; to reply</li><li>to add; to pour in (a fluid)</li><li>to check; to compare</li><li>classifier: couple; pair</li></ol>			
对不起	對不起	<span class="tone4">duì</span> <span class="tone5">bu</span> <span class="tone3">qǐ</span>	<ol><li>I'm sorry; excuse me; I beg your pardon</li><li>to let (sb) down; to disappoint</li></ol>			
多		<span class="tone1">duō</span>	<ol><li>many; much</li><li>too many; in excess</li><li>(after a numeral) ... odd</li><li>how (to what extent) (Taiwan pr. [duo2])</li><li>(bound form) multi-; poly-</li></ol>			
多少		<span class="tone1">duō</span> <span class="tone5">shao</span>	<ol><li>how much?; how many?</li><li>(phone number, student ID etc) what number?</li></ol>			
多少		<span class="tone1">duō</span> <span class="tone3">shǎo</span>	<ol><li>number; amount</li><li>somewhat</li></ol>			
饿	餓	<span class="tone4">è</span>	<ol><li>hungry</li><li>to starve (sb)</li></ol>			
儿子	兒子	<span class="tone2">ér</span> <span class="tone5">zi</span>	<ol><li>son</li></ol>			
二		<span class="tone4">èr</span>	<ol><li>two</li><li>2</li><li>(Beijing dialect) stupid</li></ol>			
饭	飯	<span class="tone4">fàn</span>	<ol><li>cooked rice</li><li>meal</li><li>(loanword) fan</li><li>devotee</li></ol>	碗(<span class="tone3">wǎn</span>), 顿|頓(<span class="tone4">dùn</span>)		
饭店	飯店	<span class="tone4">fàndiàn</span>	<ol><li>restaurant</li><li>hotel</li></ol>	家(<span class="tone1">jiā</span>), 个|個(<span class="tone4">gè</span>)		
房间	房間	<span class="tone2">fáng</span> <span class="tone1">jiān</span>	<ol><li>room</li></ol>	间|間(<span class="tone1">jiān</span>), 个|個(<span class="tone4">gè</span>)		
房子		<span class="tone2">fáng</span> <span class="tone5">zi</span>	<ol><li>house</li><li>building (single- or two-story)</li><li>apartment</li><li>room</li></ol>	栋|棟(<span class="tone4">dòng</span>), 幢(<span class="tone4">zhuàng</span>), 座(<span class="tone4">zuò</span>), 套(<span class="tone4">tào</span>), 间|間(<span class="tone1">jiān</span>)		
放		<span class="tone4">fàng</span>	<ol><li>to put</li><li>to place</li><li>to release</li><li>to free</li><li>to let go</li><li>to let out</li><li>to set off (fireworks)</li></ol>			
放假		<span class="tone4">fàng</span> <span class="tone4">jià</span>	<ol><li>to have a holiday or vacation</li></ol>			
放学	放學	<span class="tone4">fàng</span> <span class="tone2">xué</span>	<ol><li>to dismiss students at the end of the school day</li></ol>			
飞	飛	<span class="tone1">fēi</span>	<ol><li>to fly</li></ol>			
飞机	飛機	<span class="tone1">fēi</span> <span class="tone1">jī</span>	<ol><li>airplane</li></ol>	架(<span class="tone4">jià</span>)		
非常		<span class="tone1">fēi</span> <span class="tone2">cháng</span>	<ol><li>very; really</li><li>unusual; extraordinary</li></ol>			
分		<span class="tone1">fēn</span>	<ol><li>to divide; to separate</li><li>to distribute; to allocate</li><li>to distinguish (good and bad)</li><li>(bound form) branch of (an organization); sub- (as in 分局)</li><li>fraction</li><li>one tenth (of certain units)</li><li>unit of length equivalent to 0.33 cm</li><li>minute (unit of time)</li><li>minute (angular measurement unit)</li><li>a point (in sports or games)</li><li>0.01 yuan (unit of money)</li></ol>			
分		<span class="tone4">fèn</span>	<ol><li>part</li><li>share</li><li>ingredient</li><li>component</li></ol>			
风	風	<span class="tone1">fēng</span>	<ol><li>wind</li><li>news</li><li>style</li><li>custom</li><li>manner</li></ol>	阵|陣(<span class="tone4">zhèn</span>), 丝|絲(<span class="tone1">sī</span>)		
干	乾	<span class="tone1">gān</span>	<ol><li>dry</li><li>dried food</li><li>empty; hollow</li><li>taken in to nominal kinship; adoptive; foster</li><li>futile; in vain</li><li>(dialect) rude; blunt</li><li>(dialect) to cold-shoulder</li></ol>			
干		<span class="tone1">gān</span>	<ol><li>(bound form) to have to do with; to concern oneself with</li><li>one of the ten heavenly stems 天干</li><li>(archaic) shield</li></ol>			
干	幹	<span class="tone4">gàn</span>	<ol><li>tree trunk</li><li>main part of sth</li><li>to manage</li><li>to work</li><li>to do</li><li>capable</li><li>cadre</li><li>to kill (slang)</li><li>to fuck (vulgar)</li><li>(coll.) pissed off</li><li>annoyed</li></ol>			
干	乹	<span class="tone1">gān</span>	<ol><li>old variant of 乾｜干</li></ol>			
干	乾	<span class="tone1">Gān</span>	<ol><li>surname Gan</li></ol>			
干		<span class="tone1">Gān</span>	<ol><li>surname Gan</li></ol>			
干净	乾淨	<span class="tone1">gān</span> <span class="tone4">jìng</span>	<ol><li>clean</li><li>neat</li></ol>			
干什么	幹什麼	<span class="tone4">gàn</span> <span class="tone2">shén</span> <span class="tone5">me</span>	<ol><li>what are you doing?</li><li>what's he up to?</li></ol>			
高		<span class="tone1">gāo</span>	<ol><li>high</li><li>tall</li><li>above average</li><li>loud</li><li>your (honorific)</li></ol>			
高		<span class="tone1">Gāo</span>	<ol><li>surname Gao</li></ol>			
高兴	高興	<span class="tone1">gāo</span> <span class="tone4">xìng</span>	<ol><li>happy</li><li>glad</li><li>willing (to do sth)</li><li>in a cheerful mood</li></ol>			
告诉	告訴	<span class="tone4">gào</span> <span class="tone5">su</span>	<ol><li>to tell; to inform; to let know</li></ol>			
告诉	告訴	<span class="tone4">gào</span> <span class="tone4">sù</span>	<ol><li>to press charges; to file a complaint</li></ol>			
哥哥		<span class="tone1">gē</span> <span class="tone5">ge</span>	<ol><li>older brother</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>)		
哥		<span class="tone1">gē</span>	<ol><li>elder brother</li></ol>			
歌		<span class="tone1">gē</span>	<ol><li>song</li><li>to sing</li></ol>	支(<span class="tone1">zhī</span>), 首(<span class="tone3">shǒu</span>)		<span class="nobr">哥</span>
个	個	<span class="tone4">gè</span>	<ol><li>(classifier used before a noun that has no specific classifier)</li><li>(bound form) individual</li></ol>			
给	給	<span class="tone3">gěi</span>	<ol><li>to</li><li>for</li><li>for the benefit of</li><li>to give</li><li>to allow</li><li>to do sth (for sb)</li><li>(grammatical equivalent of 被)</li><li>(grammatical equivalent of 把)</li><li>(sentence intensifier)</li></ol>			
给	給	<span class="tone3">jǐ</span>	<ol><li>to supply</li><li>to provide</li></ol>			
跟		<span class="tone1">gēn</span>	<ol><li>heel</li><li>to follow closely</li><li>to go with</li><li>(of a woman) to marry sb</li><li>with</li><li>compared with</li><li>to</li><li>towards</li><li>and (joining two nouns)</li></ol>			
工人		<span class="tone1">gōng</span> <span class="tone2">rén</span>	<ol><li>worker</li></ol>	个|個(<span class="tone4">gè</span>), 名(<span class="tone2">míng</span>)		
工作		<span class="tone1">gōng</span> <span class="tone4">zuò</span>	<ol><li>to work</li><li>(of a machine) to operate</li><li>job</li><li>work</li><li>task</li></ol>	个|個(<span class="tone4">gè</span>), 份(<span class="tone4">fèn</span>), 项|項(<span class="tone4">xiàng</span>)		
关	關	<span class="tone1">guān</span>	<ol><li>mountain pass</li><li>to close; to shut; to turn off</li><li>to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)</li><li>to concern; to involve</li></ol>			
关	關	<span class="tone1">Guān</span>	<ol><li>surname Guan</li></ol>			
关上	關上	<span class="tone1">guān</span> <span class="tone4">shàng</span>	<ol><li>to close (a door)</li><li>to turn off (light, electrical equipment etc)</li></ol>			
