#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
摆脱	擺脫	<span class="tone3">bǎi</span> <span class="tone1">tuō</span>	<ol><li>to break away from</li><li>to cast off (old ideas etc)</li><li>to get rid of</li><li>to break away (from)</li><li>to break out (of)</li><li>to free oneself from</li><li>to extricate oneself</li></ol>			
败	敗	<span class="tone4">bài</span>	<ol><li>to defeat</li><li>to damage</li><li>to lose (to an opponent)</li><li>to fail</li><li>to wither</li></ol>			
办事	辦事	<span class="tone4">bàn</span> <span class="tone4">shì</span>	<ol><li>to handle (affairs)</li><li>to work</li></ol>			
包裹		<span class="tone1">bāo</span> <span class="tone3">guǒ</span>	<ol><li>to wrap up</li><li>to bind up</li><li>bundle</li><li>parcel</li><li>package</li></ol>	个|個(<span class="tone4">gè</span>)		
包含		<span class="tone1">bāo</span> <span class="tone2">hán</span>	<ol><li>to contain</li><li>to embody</li><li>to include</li></ol>			
包括		<span class="tone1">bāo</span> <span class="tone4">kuò</span>	<ol><li>to comprise</li><li>to include</li><li>to involve</li><li>to incorporate</li><li>to consist of</li></ol>			
薄		<span class="tone2">báo</span>	<ol><li>thin</li><li>cold in manner</li><li>indifferent</li><li>weak</li><li>light</li><li>infertile</li></ol>			
薄		<span class="tone2">Bó</span>	<ol><li>surname Bo</li></ol>			
薄		<span class="tone2">bó</span>	<ol><li>meager</li><li>slight</li><li>weak</li><li>ungenerous or unkind</li><li>frivolous</li><li>to despise</li><li>to belittle</li><li>to look down on</li><li>to approach or near</li></ol>			
薄		<span class="tone4">bò</span>	<ol><li>see 薄荷</li></ol>			
宝	寶	<span class="tone3">bǎo</span>	<ol><li>jewel</li><li>gem</li><li>treasure</li><li>precious</li></ol>			<span class="nobr">保</span> <span class="nobr">饱</span>
宝宝	寶寶	<span class="tone3">bǎo</span> <span class="tone5">bao</span>	<ol><li>darling; baby</li></ol>			
宝贝	寶貝	<span class="tone3">bǎo</span> <span class="tone4">bèi</span>	<ol><li>treasured object</li><li>treasure</li><li>darling</li><li>baby</li><li>cowry</li><li>good-for-nothing or queer character</li></ol>			
宝贵	寶貴	<span class="tone3">bǎo</span> <span class="tone4">guì</span>	<ol><li>valuable</li><li>precious</li><li>to value</li><li>to treasure</li><li>to set store by</li></ol>			
宝石	寶石	<span class="tone3">bǎo</span> <span class="tone2">shí</span>	<ol><li>precious stone; gem</li></ol>	枚(<span class="tone2">méi</span>), 颗|顆(<span class="tone1">kē</span>)		
保密		<span class="tone3">bǎo</span> <span class="tone4">mì</span>	<ol><li>to keep sth confidential</li><li>to maintain secrecy</li></ol>			
保守		<span class="tone3">bǎo</span> <span class="tone3">shǒu</span>	<ol><li>conservative</li><li>to guard</li><li>to keep</li></ol>			
抱		<span class="tone4">bào</span>	<ol><li>to hold</li><li>to carry (in one's arms)</li><li>to hug</li><li>to embrace</li><li>to surround</li><li>to cherish</li><li>(coll.) (of clothes) to fit nicely</li></ol>			<span class="nobr">报</span>
背景		<span class="tone4">bèi</span> <span class="tone3">jǐng</span>	<ol><li>background; backdrop; context</li><li>(fig.) powerful backer</li></ol>	种|種(<span class="tone3">zhǒng</span>)		
倍		<span class="tone4">bèi</span>	<ol><li>(two, three etc) -fold</li><li>times (multiplier)</li><li>double</li><li>to increase or multiply</li></ol>			<span class="nobr">背</span> <span class="nobr">被</span>
被迫		<span class="tone4">bèi</span> <span class="tone4">pò</span>	<ol><li>to be compelled</li><li>to be forced</li></ol>			
本科		<span class="tone3">běn</span> <span class="tone1">kē</span>	<ol><li>undergraduate course</li><li>undergraduate (attributive)</li></ol>			
笨		<span class="tone4">bèn</span>	<ol><li>stupid</li><li>foolish</li><li>silly</li><li>slow-witted</li><li>clumsy</li></ol>			
比分		<span class="tone3">bǐ</span> <span class="tone1">fēn</span>	<ol><li>score</li></ol>			
毕业	畢業	<span class="tone4">bì</span> <span class="tone4">yè</span>	<ol><li>graduation</li><li>to graduate</li><li>to finish school</li></ol>			
毕业生	畢業生	<span class="tone4">bì</span> <span class="tone4">yè</span> <span class="tone1">shēng</span>	<ol><li>graduate</li></ol>			
避		<span class="tone4">bì</span>	<ol><li>to avoid</li><li>to shun</li><li>to flee</li><li>to escape</li><li>to keep away from</li><li>to leave</li><li>to hide from</li></ol>			
避免		<span class="tone4">bì</span> <span class="tone3">miǎn</span>	<ol><li>to avert</li><li>to prevent</li><li>to avoid</li><li>to refrain from</li></ol>			
编	編	<span class="tone1">biān</span>	<ol><li>to weave</li><li>to plait</li><li>to organize</li><li>to group</li><li>to arrange</li><li>to edit</li><li>to compile</li><li>to write</li><li>to compose</li><li>to fabricate</li><li>to make up</li></ol>			<span class="nobr">边</span>
辩论	辯論	<span class="tone4">biàn</span> <span class="tone4">lùn</span>	<ol><li>debate</li><li>argument</li><li>to argue over</li></ol>	场|場(<span class="tone3">chǎng</span>), 次(<span class="tone4">cì</span>)		
标志	標誌	<span class="tone1">biāo</span> <span class="tone4">zhì</span>	<ol><li>sign; mark; symbol; logo</li><li>to symbolize; to indicate; to mark</li></ol>			
表情		<span class="tone3">biǎo</span> <span class="tone2">qíng</span>	<ol><li>(facial) expression</li><li>to express one's feelings</li></ol>			
表扬	表揚	<span class="tone3">biǎo</span> <span class="tone2">yáng</span>	<ol><li>to praise</li><li>to commend</li></ol>			
冰		<span class="tone1">bīng</span>	<ol><li>ice</li><li>to chill sth</li><li>(of an object or substance) to feel cold</li><li>(of a person) cold</li><li>unfriendly</li><li>(slang) methamphetamine</li></ol>	块|塊(<span class="tone4">kuài</span>)		
冰箱		<span class="tone1">bīng</span> <span class="tone1">xiāng</span>	<ol><li>refrigerator</li><li>(old) icebox</li></ol>			
冰雪		<span class="tone1">bīng</span> <span class="tone3">xuě</span>	<ol><li>ice and snow</li></ol>			
兵		<span class="tone1">bīng</span>	<ol><li>soldiers</li><li>a force</li><li>an army</li><li>weapons</li><li>arms</li><li>military</li><li>warlike</li></ol>	个|個(<span class="tone4">gè</span>)		<span class="nobr">冰</span>
不要紧	不要緊	<span class="tone4">bù</span> <span class="tone4">yào</span> <span class="tone3">jǐn</span>	<ol><li>unimportant</li><li>not serious</li><li>it doesn't matter</li><li>never mind</li><li>it looks all right, but</li></ol>			
不在乎		<span class="tone4">bù</span> <span class="tone4">zài</span> <span class="tone5">hu</span>	<ol><li>not to care</li></ol>			
不管		<span class="tone4">bù</span> <span class="tone3">guǎn</span>	<ol><li>not to be concerned</li><li>regardless of</li><li>no matter</li></ol>			
不然		<span class="tone4">bù</span> <span class="tone2">rán</span>	<ol><li>not so</li><li>no</li><li>or else</li><li>otherwise</li><li>if not</li><li>How about ...?</li></ol>			
布置	佈置	<span class="tone4">bù</span> <span class="tone4">zhì</span>	<ol><li>to put in order</li><li>to arrange</li><li>to decorate</li><li>to fix up</li><li>to deploy</li></ol>			
步行		<span class="tone4">bù</span> <span class="tone2">xíng</span>	<ol><li>to go on foot</li><li>to walk</li></ol>			<span class="nobr">不行</span>
擦		<span class="tone1">cā</span>	<ol><li>to rub; to scratch</li><li>to wipe; to polish</li><li>to apply (lipstick, lotion etc)</li><li>to brush (past)</li><li>to shred (a vegetable etc)</li></ol>			
材料		<span class="tone2">cái</span> <span class="tone4">liào</span>	<ol><li>(raw) material</li><li>data</li><li>(fig.) person who has the potential to do the job</li></ol>			
财产	財產	<span class="tone2">cái</span> <span class="tone3">chǎn</span>	<ol><li>property</li><li>assets</li><li>estate</li></ol>	笔|筆(<span class="tone3">bǐ</span>)		
财富	財富	<span class="tone2">cái</span> <span class="tone4">fù</span>	<ol><li>wealth</li><li>riches</li></ol>			
采访	採訪	<span class="tone3">cǎi</span> <span class="tone3">fǎng</span>	<ol><li>to interview</li><li>to gather news</li><li>to hunt for and collect</li><li>to cover</li></ol>			
参考	參考	<span class="tone1">cān</span> <span class="tone3">kǎo</span>	<ol><li>consultation</li><li>reference</li><li>to consult</li><li>to refer</li></ol>			
参与	參與	<span class="tone1">cān</span> <span class="tone4">yù</span>	<ol><li>to participate (in sth)</li></ol>			
操场	操場	<span class="tone1">cāo</span> <span class="tone3">chǎng</span>	<ol><li>playground</li><li>sports field</li><li>drill ground</li></ol>	个|個(<span class="tone4">gè</span>)		
操作		<span class="tone1">cāo</span> <span class="tone4">zuò</span>	<ol><li>to work</li><li>to operate</li><li>to manipulate</li></ol>			
测	測	<span class="tone4">cè</span>	<ol><li>to survey</li><li>to measure</li><li>to conjecture</li></ol>			
测量	測量	<span class="tone4">cè</span> <span class="tone2">liáng</span>	<ol><li>survey</li><li>to measure</li><li>to gauge</li><li>to determine</li></ol>			
测试	測試	<span class="tone4">cè</span> <span class="tone4">shì</span>	<ol><li>to test (machinery etc)</li><li>to test (a person's skill in a particular area)</li><li>a test</li><li>(computing) beta (version of software)</li></ol>			
曾		<span class="tone2">céng</span>	<ol><li>once</li><li>already</li><li>ever (in the past)</li><li>former</li><li>previously</li><li>(past tense marker used before verb or clause)</li></ol>			<span class="nobr">层</span>
曾		<span class="tone1">Zēng</span>	<ol><li>surname Zeng</li></ol>			
曾		<span class="tone1">zēng</span>	<ol><li>great- (grandfather, grandchild etc)</li></ol>			
茶叶	茶葉	<span class="tone2">chá</span> <span class="tone4">yè</span>	<ol><li>tea</li><li>tea leaves</li></ol>	盒(<span class="tone2">hé</span>), 罐(<span class="tone4">guàn</span>), 包(<span class="tone1">bāo</span>), 片(<span class="tone4">piàn</span>)		
产品	產品	<span class="tone3">chǎn</span> <span class="tone3">pǐn</span>	<ol><li>goods</li><li>merchandise</li><li>product</li></ol>	个|個(<span class="tone4">gè</span>)		
长途	長途	<span class="tone2">cháng</span> <span class="tone2">tú</span>	<ol><li>long distance</li></ol>			
常识	常識	<span class="tone2">cháng</span> <span class="tone2">shí</span>	<ol><li>common sense</li><li>general knowledge</li></ol>	门|門(<span class="tone2">mén</span>)		
唱片		<span class="tone4">chàng</span> <span class="tone4">piàn</span>	<ol><li>gramophone record</li><li>LP</li><li>music CD</li><li>musical album</li></ol>	张|張(<span class="tone1">zhāng</span>)		
抄		<span class="tone1">chāo</span>	<ol><li>to make a copy</li><li>to plagiarize</li><li>to search and seize</li><li>to raid</li><li>to grab</li><li>to go off with</li><li>to take a shortcut</li><li>to make a turning move</li><li>to fold one's arms</li></ol>			
抄写	抄寫	<span class="tone1">chāo</span> <span class="tone3">xiě</span>	<ol><li>to copy</li><li>to transcribe</li></ol>			
潮		<span class="tone2">cháo</span>	<ol><li>tide</li><li>damp; moist; humid</li><li>fashionable; trendy</li><li>(coll.) inferior; substandard</li></ol>			<span class="nobr">朝</span>
潮流		<span class="tone2">cháo</span> <span class="tone2">liú</span>	<ol><li>tide</li><li>current</li><li>trend</li></ol>			
潮湿	潮濕	<span class="tone2">cháo</span> <span class="tone1">shī</span>	<ol><li>damp</li><li>moist</li></ol>			
彻底	徹底	<span class="tone4">chè</span> <span class="tone3">dǐ</span>	<ol><li>thorough</li><li>thoroughly</li><li>complete</li></ol>			
沉		<span class="tone2">chén</span>	<ol><li>to submerge</li><li>to immerse</li><li>to sink</li><li>to keep down</li><li>to lower</li><li>to drop</li><li>deep</li><li>profound</li><li>heavy</li></ol>			
沉默		<span class="tone2">chén</span> <span class="tone4">mò</span>	<ol><li>taciturn</li><li>uncommunicative</li><li>silent</li></ol>			
沉重		<span class="tone2">chén</span> <span class="tone4">zhòng</span>	<ol><li>heavy</li><li>hard</li><li>serious</li><li>critical</li></ol>			
称赞	稱讚	<span class="tone1">chēng</span> <span class="tone4">zàn</span>	<ol><li>to praise</li><li>to acclaim</li><li>to commend</li><li>to compliment</li></ol>			
成人		<span class="tone2">chéng</span> <span class="tone2">rén</span>	<ol><li>to reach adulthood</li><li>an adult</li></ol>			
诚实	誠實	<span class="tone2">chéng</span> <span class="tone2">shí</span>	<ol><li>honest</li></ol>			
诚信	誠信	<span class="tone2">chéng</span> <span class="tone4">xìn</span>	<ol><li>honesty; trustworthiness; good faith</li></ol>			
承担	承擔	<span class="tone2">chéng</span> <span class="tone1">dān</span>	<ol><li>to undertake</li><li>to assume (responsibility etc)</li></ol>			
承认	承認	<span class="tone2">chéng</span> <span class="tone4">rèn</span>	<ol><li>to admit</li><li>to concede</li><li>to recognize</li><li>recognition (diplomatic, artistic etc)</li><li>to acknowledge</li></ol>			
承受		<span class="tone2">chéng</span> <span class="tone4">shòu</span>	<ol><li>to bear</li><li>to support</li><li>to inherit</li></ol>			
程序		<span class="tone2">chéng</span> <span class="tone4">xù</span>	<ol><li>procedures</li><li>sequence</li><li>order</li><li>computer program</li></ol>			
吃惊	吃驚	<span class="tone1">chī</span> <span class="tone1">jīng</span>	<ol><li>to be startled</li><li>to be shocked</li><li>to be amazed</li></ol>			
迟到	遲到	<span class="tone2">chí</span> <span class="tone4">dào</span>	<ol><li>to arrive late</li></ol>			
尺		<span class="tone3">chǐ</span>	<ol><li>a Chinese foot</li><li>one-third of a meter</li><li>a ruler</li><li>a tape-measure</li><li>one of the three acupoints for measuring pulse in Chinese medicine</li></ol>	支(<span class="tone1">zhī</span>), 把(<span class="tone3">bǎ</span>)		
尺		<span class="tone3">chě</span>	<ol><li>one of the characters used to represent a musical note in gongche notation, 工尺譜｜工尺谱</li></ol>			
尺寸		<span class="tone3">chǐ</span> <span class="tone5">cun</span>	<ol><li>size; dimensions; measurements (esp. of clothes)</li><li>(coll.) propriety</li></ol>			
尺子		<span class="tone3">chǐ</span> <span class="tone5">zi</span>	<ol><li>ruler (measuring instrument)</li></ol>	把(<span class="tone3">bǎ</span>)		
冲	沖	<span class="tone1">chōng</span>	<ol><li>(of water) to dash against</li><li>to mix with water</li><li>to infuse</li><li>to rinse</li><li>to flush</li><li>to develop (a film)</li><li>to rise in the air</li><li>to clash</li><li>to collide with</li></ol>			
冲	衝	<span class="tone1">chōng</span>	<ol><li>thoroughfare</li><li>to go straight ahead</li><li>to rush</li><li>to clash</li></ol>			
冲	衝	<span class="tone4">chòng</span>	<ol><li>powerful</li><li>vigorous</li><li>pungent</li><li>towards</li><li>in view of</li></ol>			
充电	充電	<span class="tone1">chōng</span> <span class="tone4">diàn</span>	<ol><li>to recharge (a battery)</li><li>(fig.) to recharge one's batteries (through leisure)</li><li>to update one's skills and knowledge</li></ol>			
充电器	充電器	<span class="tone1">chōng</span> <span class="tone4">diàn</span> <span class="tone4">qì</span>	<ol><li>battery charger</li></ol>			
充分		<span class="tone1">chōng</span> <span class="tone4">fèn</span>	<ol><li>ample</li><li>sufficient</li><li>adequate</li><li>full</li><li>fully</li><li>to the full</li></ol>			
虫子	蟲子	<span class="tone2">chóng</span> <span class="tone5">zi</span>	<ol><li>insect</li><li>bug</li><li>worm</li></ol>	条|條(<span class="tone2">tiáo</span>), 只|隻(<span class="tone1">zhī</span>)		
抽		<span class="tone1">chōu</span>	<ol><li>to draw out</li><li>to pull out from in between</li><li>to remove part of the whole</li><li>(of certain plants) to sprout or bud</li><li>to whip or thrash</li></ol>			
抽奖	抽獎	<span class="tone1">chōu</span> <span class="tone3">jiǎng</span>	<ol><li>to draw a prize</li><li>a lottery</li><li>a raffle</li></ol>			
抽烟	抽煙	<span class="tone1">chōu</span> <span class="tone1">yān</span>	<ol><li>to smoke (a cigarette, tobacco)</li></ol>			
出色		<span class="tone1">chū</span> <span class="tone4">sè</span>	<ol><li>remarkable; outstanding</li></ol>			
出售		<span class="tone1">chū</span> <span class="tone4">shòu</span>	<ol><li>to sell</li><li>to offer for sale</li><li>to put on the market</li></ol>			
出席		<span class="tone1">chū</span> <span class="tone2">xí</span>	<ol><li>to attend</li><li>to participate</li><li>present</li></ol>			
处于	處於	<span class="tone3">chǔ</span> <span class="tone2">yú</span>	<ol><li>to be in (some state, position, or condition)</li></ol>			
处	處	<span class="tone4">chù</span>	<ol><li>place</li><li>location</li><li>spot</li><li>point</li><li>office</li><li>department</li><li>bureau</li><li>respect</li><li>classifier for locations or items of damage: spot, point</li></ol>			
处	處	<span class="tone3">chǔ</span>	<ol><li>to reside</li><li>to live</li><li>to dwell</li><li>to be in</li><li>to be situated at</li><li>to stay</li><li>to get along with</li><li>to be in a position of</li><li>to deal with</li><li>to discipline</li><li>to punish</li></ol>			
穿上		<span class="tone1">chuān</span> <span class="tone5">shang</span>	<ol><li>to put on (clothes etc)</li></ol>			
传统	傳統	<span class="tone2">chuán</span> <span class="tone3">tǒng</span>	<ol><li>tradition</li><li>traditional</li><li>convention</li><li>conventional</li></ol>	个|個(<span class="tone4">gè</span>)		
窗户	窗戶	<span class="tone1">chuāng</span> <span class="tone5">hu</span>	<ol><li>window</li></ol>	个|個(<span class="tone4">gè</span>), 扇(<span class="tone4">shàn</span>)		
窗台	窗臺	<span class="tone1">chuāng</span> <span class="tone2">tái</span>	<ol><li>windowsill; window ledge</li></ol>			
窗子		<span class="tone1">chuāng</span> <span class="tone5">zi</span>	<ol><li>window</li></ol>			
春季		<span class="tone1">chūn</span> <span class="tone4">jì</span>	<ol><li>springtime</li></ol>			
纯	純	<span class="tone2">chún</span>	<ol><li>pure</li><li>simple</li><li>unmixed</li><li>genuine</li></ol>			
纯净水	純淨水	<span class="tone2">chún</span> <span class="tone4">jìng</span> <span class="tone3">shuǐ</span>	<ol><li>purified water</li></ol>			
词汇	詞彙	<span class="tone2">cí</span> <span class="tone4">huì</span>	<ol><li>vocabulary</li><li>list of words (e.g. for language teaching purposes)</li><li>word</li></ol>			
此		<span class="tone3">cǐ</span>	<ol><li>this; these</li></ol>			
此外		<span class="tone3">cǐwài</span>	<ol><li>besides; in addition; moreover; furthermore</li></ol>			
刺		<span class="tone4">cì</span>	<ol><li>thorn</li><li>sting</li><li>thrust</li><li>to prick</li><li>to pierce</li><li>to stab</li><li>to assassinate</li><li>to murder</li></ol>			<span class="nobr">次</span>
刺		<span class="tone1">cī</span>	<ol><li>(onom.) whoosh</li></ol>			<span class="nobr">差</span>
刺激		<span class="tone4">cì</span> <span class="tone1">jī</span>	<ol><li>to provoke; to irritate; to upset; to stimulate; to excite</li><li>irritant</li></ol>			
从此	從此	<span class="tone2">cóng</span> <span class="tone3">cǐ</span>	<ol><li>from now on</li><li>since then</li><li>henceforth</li></ol>			
粗		<span class="tone1">cū</span>	<ol><li>(of sth long) wide; thick</li><li>(of sth granular) coarse</li><li>(of a voice) gruff</li><li>(of sb's manner etc) rough; crude; careless; rude</li></ol>			
粗	麤	<span class="tone1">cū</span>	<ol><li>remote; distant</li></ol>			
粗心		<span class="tone1">cū</span> <span class="tone1">xīn</span>	<ol><li>careless</li><li>thoughtless</li></ol>			
促进	促進	<span class="tone4">cù</span> <span class="tone4">jìn</span>	<ol><li>to promote (an idea or cause); to advance; boost</li></ol>			
促使		<span class="tone4">cù</span> <span class="tone3">shǐ</span>	<ol><li>to prompt; to induce; to spur</li></ol>			
促销	促銷	<span class="tone4">cù</span> <span class="tone1">xiāo</span>	<ol><li>to promote sales</li></ol>			
措施		<span class="tone4">cuò</span> <span class="tone1">shī</span>	<ol><li>measure</li><li>step</li></ol>	个|個(<span class="tone4">gè</span>)		
答案		<span class="tone2">dá</span> <span class="tone4">àn</span>	<ol><li>answer</li><li>solution</li></ol>	个|個(<span class="tone4">gè</span>)		
打败	打敗	<span class="tone3">dǎ</span> <span class="tone4">bài</span>	<ol><li>to defeat</li><li>to overpower</li><li>to beat</li><li>to be defeated</li></ol>			
打雷		<span class="tone3">dǎ</span> <span class="tone2">léi</span>	<ol><li>to rumble with thunder</li><li>clap of thunder</li></ol>			
打扫	打掃	<span class="tone3">dǎ</span> <span class="tone3">sǎo</span>	<ol><li>to clean</li><li>to sweep</li></ol>			
打折		<span class="tone3">dǎ</span> <span class="tone2">zhé</span>	<ol><li>to give a discount</li></ol>			
打针	打針	<span class="tone3">dǎ</span> <span class="tone1">zhēn</span>	<ol><li>to give or have an injection</li></ol>			
大巴		<span class="tone4">dà</span> <span class="tone1">bā</span>	<ol><li>(coll.) large bus</li><li>coach</li><li>(abbr. for 大型巴士)</li></ol>			
大多		<span class="tone4">dà</span> <span class="tone1">duō</span>	<ol><li>for the most part</li><li>many</li><li>most</li><li>the greater part</li><li>mostly</li></ol>			
大方		<span class="tone4">dà</span> <span class="tone5">fang</span>	<ol><li>generous</li><li>magnanimous</li><li>stylish</li><li>in good taste</li><li>easy-mannered</li><li>natural and relaxed</li></ol>			
大方		<span class="tone4">dà</span> <span class="tone1">fāng</span>	<ol><li>expert</li><li>scholar</li><li>mother earth</li><li>a type of green tea</li></ol>			
大哥		<span class="tone4">dàgē</span>	<ol><li>eldest brother</li><li>big brother (polite address for a man of about the same age as oneself)</li><li>gang leader; boss</li></ol>			
大规模	大規模	<span class="tone4">dà</span> <span class="tone1">guī</span> <span class="tone2">mó</span>	<ol><li>large scale</li><li>extensive</li><li>wide scale</li><li>broad scale</li></ol>			
大会	大會	<span class="tone4">dà</span> <span class="tone4">huì</span>	<ol><li>general assembly</li><li>general meeting</li><li>convention</li></ol>	个|個(<span class="tone4">gè</span>), 届|屆(<span class="tone4">jiè</span>)		
大姐		<span class="tone4">dà</span> <span class="tone3">jiě</span>	<ol><li>big sister</li><li>elder sister</li><li>older sister (also polite term of address for a girl or woman slightly older than the speaker)</li></ol>			
大楼	大樓	<span class="tone4">dà</span> <span class="tone2">lóu</span>	<ol><li>building (a relatively large, multistory one)</li></ol>	幢(<span class="tone4">zhuàng</span>), 座(<span class="tone4">zuò</span>)		
大陆	大陸	<span class="tone4">Dà</span> <span class="tone4">lù</span>	<ol><li>mainland China (reference to the PRC)</li></ol>			
大陆	大陸	<span class="tone4">dàlù</span>	<ol><li>continent; mainland</li></ol>	个|個(<span class="tone4">gè</span>), 块|塊(<span class="tone4">kuài</span>)		
大妈	大媽	<span class="tone4">dà</span> <span class="tone1">mā</span>	<ol><li>father's elder brother's wife</li><li>aunt (affectionate term for an elderly woman)</li></ol>			
大型		<span class="tone4">dà</span> <span class="tone2">xíng</span>	<ol><li>large</li><li>large-scale</li></ol>			
大爷	大爺	<span class="tone4">dà</span> <span class="tone5">ye</span>	<ol><li>(coll.) father's older brother</li><li>uncle</li><li>term of respect for older man</li></ol>			
大爷	大爺	<span class="tone4">dà</span> <span class="tone2">yé</span>	<ol><li>arrogant idler</li><li>self-centered show-off</li></ol>			
大众	大眾	<span class="tone4">dà</span> <span class="tone4">zhòng</span>	<ol><li>the masses</li><li>the great bulk of the population</li><li>popular (of music, science etc)</li></ol>			
大众	大眾	<span class="tone4">Dà</span> <span class="tone4">zhòng</span>	<ol><li>Volkswagen (automobile manufacturer)</li></ol>			
代替		<span class="tone4">dài</span> <span class="tone4">tì</span>	<ol><li>to replace; to take the place of</li></ol>			
待遇		<span class="tone4">dài</span> <span class="tone4">yù</span>	<ol><li>treatment</li><li>pay</li><li>salary</li><li>status</li><li>rank</li></ol>			
袋		<span class="tone4">dài</span>	<ol><li>pouch</li><li>bag</li><li>sack</li><li>pocket</li></ol>			<span class="nobr">代</span> <span class="nobr">大</span> <span class="nobr">带</span>
戴		<span class="tone4">dài</span>	<ol><li>to put on or wear (glasses, hat, gloves etc)</li><li>to respect</li><li>to bear</li><li>to support</li></ol>			<span class="nobr">代</span> <span class="nobr">大</span> <span class="nobr">带</span> <span class="nobr">袋</span>
戴		<span class="tone4">Dài</span>	<ol><li>surname Dai</li></ol>			
担保	擔保	<span class="tone1">dān</span> <span class="tone3">bǎo</span>	<ol><li>to guarantee</li><li>to vouch for</li></ol>			
担任	擔任	<span class="tone1">dān</span> <span class="tone4">rèn</span>	<ol><li>to hold a governmental office or post</li><li>to assume office of</li><li>to take charge of</li><li>to serve as</li></ol>			
担心	擔心	<span class="tone1">dān</span> <span class="tone1">xīn</span>	<ol><li>anxious</li><li>worried</li><li>uneasy</li><li>to worry</li><li>to be anxious</li></ol>			
单	單	<span class="tone1">dān</span>	<ol><li>bill</li><li>list</li><li>form</li><li>single</li><li>only</li><li>sole</li><li>odd number</li></ol>	个|個(<span class="tone4">gè</span>)		
单	單	<span class="tone4">Shàn</span>	<ol><li>surname Shan</li></ol>			
单纯	單純	<span class="tone1">dān</span> <span class="tone2">chún</span>	<ol><li>simple</li><li>pure</li><li>unsophisticated</li><li>merely</li><li>purely</li></ol>			
单调	單調	<span class="tone1">dān</span> <span class="tone4">diào</span>	<ol><li>monotonous</li></ol>			
单独	單獨	<span class="tone1">dān</span> <span class="tone2">dú</span>	<ol><li>alone</li><li>by oneself</li><li>on one's own</li></ol>			
淡		<span class="tone4">dàn</span>	<ol><li>insipid</li><li>diluted</li><li>weak</li><li>mild</li><li>light in color</li><li>tasteless</li><li>indifferent</li><li>(variant of 氮) nitrogen</li></ol>			<span class="nobr">但</span> <span class="nobr">蛋</span>
导游	導遊	<span class="tone3">dǎo</span> <span class="tone2">yóu</span>	<ol><li>tour guide</li><li>guidebook</li><li>to conduct a tour</li></ol>			
导致	導致	<span class="tone3">dǎo</span> <span class="tone4">zhì</span>	<ol><li>to lead to; to create; to cause; to bring about</li></ol>			
倒闭	倒閉	<span class="tone3">dǎo</span> <span class="tone4">bì</span>	<ol><li>to go bankrupt</li><li>to close down</li></ol>			
