#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
部队	部隊	<span class="tone4">bù</span> <span class="tone4">duì</span>	<ol><li>army</li><li>armed forces</li><li>troops</li><li>force</li><li>unit</li></ol>	个|個(<span class="tone4">gè</span>)		<span class="nobr">不对</span>
采纳	採納	<span class="tone3">cǎi</span> <span class="tone4">nà</span>	<ol><li>to accept</li><li>to adopt</li></ol>			
踩		<span class="tone3">cǎi</span>	<ol><li>to step on</li><li>to tread</li><li>to stamp</li><li>to press a pedal</li><li>to pedal (a bike)</li><li>(online) to downvote</li></ol>			
参赛	參賽	<span class="tone1">cān</span> <span class="tone4">sài</span>	<ol><li>to compete</li><li>to take part in a competition</li></ol>			
参展	參展	<span class="tone1">cān</span> <span class="tone3">zhǎn</span>	<ol><li>to exhibit at or take part in a trade show etc</li></ol>			
餐		<span class="tone1">cān</span>	<ol><li>meal</li><li>to eat</li><li>classifier for meals</li></ol>			
残疾	殘疾	<span class="tone2">cán</span> <span class="tone2">jí</span>	<ol><li>disabled</li><li>handicapped</li><li>deformity on a person or animal</li></ol>			
残疾人	殘疾人	<span class="tone2">cán</span> <span class="tone2">jí</span> <span class="tone2">rén</span>	<ol><li>disabled person</li></ol>			
残酷	殘酷	<span class="tone2">cán</span> <span class="tone4">kù</span>	<ol><li>cruel</li><li>cruelty</li></ol>			
惨	慘	<span class="tone3">cǎn</span>	<ol><li>miserable</li><li>wretched</li><li>cruel</li><li>inhuman</li><li>disastrous</li><li>tragic</li><li>dim</li><li>gloomy</li></ol>			
仓库	倉庫	<span class="tone1">cāng</span> <span class="tone4">kù</span>	<ol><li>depot</li><li>storehouse</li><li>warehouse</li></ol>			
藏		<span class="tone2">cáng</span>	<ol><li>to conceal</li><li>to hide away</li><li>to harbor</li><li>to store</li><li>to collect</li></ol>			
藏		<span class="tone4">Zàng</span>	<ol><li>Tibet</li></ol>			
藏		<span class="tone4">zàng</span>	<ol><li>storehouse</li><li>depository</li><li>Buddhist or Taoist scripture</li></ol>			<span class="nobr">脏</span>
操纵	操縱	<span class="tone1">cāo</span> <span class="tone4">zòng</span>	<ol><li>to operate</li><li>to control</li><li>to rig</li><li>to manipulate</li></ol>			
厕所	廁所	<span class="tone4">cè</span> <span class="tone3">suǒ</span>	<ol><li>toilet; lavatory</li></ol>	间|間(<span class="tone1">jiān</span>), 处|處(<span class="tone4">chù</span>)		
侧	側	<span class="tone4">cè</span>	<ol><li>the side</li><li>to incline towards</li><li>to lean</li><li>inclined</li><li>lateral</li><li>side</li></ol>			<span class="nobr">册</span> <span class="nobr">测</span>
侧	側	<span class="tone1">zhāi</span>	<ol><li>lean on one side</li></ol>			<span class="nobr">摘</span>
测定	測定	<span class="tone4">cè</span> <span class="tone4">dìng</span>	<ol><li>to determine (by measuring or surveying)</li></ol>			
策划	策劃	<span class="tone4">cè</span> <span class="tone4">huà</span>	<ol><li>to plot</li><li>to scheme</li><li>to bring about</li><li>to engineer</li><li>planning</li><li>producer</li><li>planner</li></ol>			
策略		<span class="tone4">cè</span> <span class="tone4">lüè</span>	<ol><li>strategy; tactics</li><li>crafty; adroit</li></ol>			
层面	層面	<span class="tone2">céng</span> <span class="tone4">miàn</span>	<ol><li>aspect; facet</li><li>level (political, psychological, spiritual etc)</li><li>(geology) bedding plane</li></ol>			
差异	差異	<span class="tone1">chā</span> <span class="tone4">yì</span>	<ol><li>difference; discrepancy</li></ol>			
查出		<span class="tone2">chá</span> <span class="tone1">chū</span>	<ol><li>to find out</li><li>to discover</li></ol>			
查看		<span class="tone2">chá</span> <span class="tone4">kàn</span>	<ol><li>to look over</li><li>to examine</li><li>to check up</li><li>to ferret out</li></ol>			
拆迁	拆遷	<span class="tone1">chāi</span> <span class="tone1">qiān</span>	<ol><li>to demolish a building and relocate the inhabitants</li></ol>			
产量	產量	<span class="tone3">chǎn</span> <span class="tone4">liàng</span>	<ol><li>output</li></ol>			
昌盛		<span class="tone1">chāng</span> <span class="tone4">shèng</span>	<ol><li>prosperous</li></ol>			
长短	長短	<span class="tone2">cháng</span> <span class="tone3">duǎn</span>	<ol><li>length</li><li>accident; mishap</li><li>right and wrong; good and bad; merits and demerits</li></ol>			
长假	長假	<span class="tone2">cháng</span> <span class="tone4">jià</span>	<ol><li>long vacation</li></ol>			
长久	長久	<span class="tone2">cháng</span> <span class="tone3">jiǔ</span>	<ol><li>(for a) long time</li></ol>			
长跑	長跑	<span class="tone2">cháng</span> <span class="tone3">pǎo</span>	<ol><li>long-distance running</li></ol>			
长远	長遠	<span class="tone2">cháng</span> <span class="tone3">yuǎn</span>	<ol><li>long-term</li><li>long-range</li></ol>			
常规	常規	<span class="tone2">cháng</span> <span class="tone1">guī</span>	<ol><li>code of conduct; conventions; common practice</li><li>routine (medical procedure etc)</li></ol>			
常年		<span class="tone2">cháng</span> <span class="tone2">nián</span>	<ol><li>all year round</li><li>for years on end</li><li>average year</li></ol>			
厂商	廠商	<span class="tone3">chǎng</span> <span class="tone1">shāng</span>	<ol><li>manufacturer</li><li>producer</li></ol>			
场地	場地	<span class="tone3">chǎng</span> <span class="tone4">dì</span>	<ol><li>space</li><li>site</li><li>place</li><li>sports pitch</li></ol>			
场馆	場館	<span class="tone3">chǎng</span> <span class="tone3">guǎn</span>	<ol><li>sporting venue</li><li>arena</li></ol>			
场景	場景	<span class="tone3">chǎng</span> <span class="tone3">jǐng</span>	<ol><li>scene; scenario; situation; setting</li></ol>			
畅通	暢通	<span class="tone4">chàng</span> <span class="tone1">tōng</span>	<ol><li>unimpeded</li><li>free-flowing</li><li>straight path</li><li>unclogged</li><li>move without obstruction</li></ol>			
超		<span class="tone1">chāo</span>	<ol><li>to exceed</li><li>to overtake</li><li>to surpass</li><li>to transcend</li><li>to pass</li><li>to cross</li><li>ultra-</li><li>super-</li></ol>			<span class="nobr">抄</span>
超出		<span class="tone1">chāo</span> <span class="tone1">chū</span>	<ol><li>to exceed</li><li>to overstep</li><li>to go too far</li><li>to encroach</li></ol>			
炒		<span class="tone3">chǎo</span>	<ol><li>to sauté; to stir-fry</li><li>to speculate (in real estate etc); to scalp</li><li>to hype up</li><li>to sack; to fire (sb)</li></ol>			<span class="nobr">吵</span>
炒股		<span class="tone3">chǎo</span> <span class="tone3">gǔ</span>	<ol><li>(coll.) to speculate in stocks</li></ol>			
炒作		<span class="tone3">chǎo</span> <span class="tone4">zuò</span>	<ol><li>to hype</li><li>to promote (in the media)</li></ol>			
车号	車號	<span class="tone1">chē</span> <span class="tone4">hào</span>	<ol><li>vehicle number (license plate number, taxi number, bus number, train car number)</li></ol>			
车牌	車牌	<span class="tone1">chē</span> <span class="tone2">pái</span>	<ol><li>license plate</li></ol>			
车展	車展	<span class="tone1">chē</span> <span class="tone3">zhǎn</span>	<ol><li>motor show</li></ol>			
撤离	撤離	<span class="tone4">chè</span> <span class="tone2">lí</span>	<ol><li>to withdraw from</li><li>to evacuate</li></ol>			
撤销	撤銷	<span class="tone4">chè</span> <span class="tone1">xiāo</span>	<ol><li>to repeal</li><li>to revoke</li><li>(computing) to undo</li></ol>			
撑	撐	<span class="tone1">chēng</span>	<ol><li>to support</li><li>to prop up</li><li>to push or move with a pole</li><li>to maintain</li><li>to open or unfurl</li><li>to fill to bursting point</li><li>brace</li><li>stay</li><li>support</li></ol>			<span class="nobr">称</span>
成分		<span class="tone2">chéng</span> <span class="tone4">fèn</span>	<ol><li>composition; ingredient; element; component</li><li>one's social status</li></ol>	个|個(<span class="tone4">gè</span>)		
成品		<span class="tone2">chéng</span> <span class="tone3">pǐn</span>	<ol><li>finished goods</li><li>a finished product</li></ol>			
承诺	承諾	<span class="tone2">chéng</span> <span class="tone4">nuò</span>	<ol><li>to promise</li><li>to undertake to do something</li><li>commitment</li></ol>			
城区	城區	<span class="tone2">chéng</span> <span class="tone1">qū</span>	<ol><li>city district</li><li>urban area</li></ol>			
城乡	城鄉	<span class="tone2">chéng</span> <span class="tone1">xiāng</span>	<ol><li>city and countryside</li></ol>			
城镇	城鎮	<span class="tone2">chéng</span> <span class="tone4">zhèn</span>	<ol><li>town</li><li>cities and towns</li></ol>			
持有		<span class="tone2">chí</span> <span class="tone3">yǒu</span>	<ol><li>to hold (passport, views etc)</li></ol>			
冲击	衝擊	<span class="tone1">chōng</span> <span class="tone1">jī</span>	<ol><li>to attack</li><li>to batter</li><li>(of waves) to pound against</li><li>shock</li><li>impact</li></ol>			
重建		<span class="tone2">chóng</span> <span class="tone4">jiàn</span>	<ol><li>to rebuild</li><li>to reestablish</li><li>reconstruction</li><li>rebuilding</li></ol>			
重组	重組	<span class="tone2">chóng</span> <span class="tone3">zǔ</span>	<ol><li>to reorganize; to recombine; to restructure</li></ol>			
崇拜		<span class="tone2">chóng</span> <span class="tone4">bài</span>	<ol><li>to worship</li><li>adoration</li></ol>			
宠物	寵物	<span class="tone3">chǒng</span> <span class="tone4">wù</span>	<ol><li>house pet</li></ol>			
出场	出場	<span class="tone1">chū</span> <span class="tone3">chǎng</span>	<ol><li>(of a performer) to come onto the stage to perform</li><li>(of an athlete) to enter the arena to compete</li><li>(fig.) to enter the scene (e.g. a new product)</li><li>(of an examinee etc) to leave the venue</li></ol>			
出动	出動	<span class="tone1">chū</span> <span class="tone4">dòng</span>	<ol><li>to start out on a trip</li><li>to dispatch troops</li></ol>			
出访	出訪	<span class="tone1">chū</span> <span class="tone3">fǎng</span>	<ol><li>to go and visit in an official capacity or for investigation</li></ol>			
出路		<span class="tone1">chū</span> <span class="tone4">lù</span>	<ol><li>a way out (lit. and fig.)</li><li>opportunity for advancement; a way forward</li><li>outlet (for one's products)</li></ol>			
出面		<span class="tone1">chū</span> <span class="tone4">miàn</span>	<ol><li>to appear personally</li><li>to step in</li><li>to step forth</li><li>to show up</li></ol>			
出名		<span class="tone1">chū</span> <span class="tone2">míng</span>	<ol><li>well-known for sth</li><li>to become well known</li><li>to make one's mark</li><li>to lend one's name (to an event, endeavor etc)</li></ol>			
出入		<span class="tone1">chū</span> <span class="tone4">rù</span>	<ol><li>to go out and come in</li><li>entrance and exit</li><li>expenditure and income</li><li>discrepancy</li><li>inconsistent</li></ol>			
出事		<span class="tone1">chū</span> <span class="tone4">shì</span>	<ol><li>to have an accident</li><li>to meet with a mishap</li></ol>			
出台	出臺	<span class="tone1">chū</span> <span class="tone2">tái</span>	<ol><li>to officially launch (a policy, program etc)</li><li>to appear on stage</li><li>to appear publicly</li><li>(of a bar girl) to leave with a client</li></ol>			
出行		<span class="tone1">chū</span> <span class="tone2">xíng</span>	<ol><li>to go out somewhere (relatively short trip)</li><li>to set off on a journey (longer trip)</li></ol>			
初等		<span class="tone1">chū</span> <span class="tone3">děng</span>	<ol><li>elementary (i.e. easy)</li></ol>			
除		<span class="tone2">chú</span>	<ol><li>to get rid of</li><li>to remove</li><li>to exclude</li><li>to eliminate</li><li>to wipe out</li><li>to divide</li><li>except</li><li>not including</li></ol>			
厨师	廚師	<span class="tone2">chú</span> <span class="tone1">shī</span>	<ol><li>cook</li><li>chef</li></ol>			
储存	儲存	<span class="tone3">chǔ</span> <span class="tone2">cún</span>	<ol><li>stockpile</li><li>to store</li><li>to stockpile</li><li>storage</li></ol>			
处处	處處	<span class="tone4">chù</span> <span class="tone4">chù</span>	<ol><li>everywhere</li><li>in all respects</li></ol>			
处长	處長	<span class="tone4">chù</span> <span class="tone3">zhǎng</span>	<ol><li>department head</li><li>section chief</li></ol>			
传出	傳出	<span class="tone2">chuán</span> <span class="tone1">chū</span>	<ol><li>to transmit outwards</li><li>to disseminate</li><li>efferent (nerve)</li></ol>			
传媒	傳媒	<span class="tone2">chuán</span> <span class="tone2">méi</span>	<ol><li>media</li></ol>			
传输	傳輸	<span class="tone2">chuán</span> <span class="tone1">shū</span>	<ol><li>to transmit</li><li>transmission</li></ol>			
传言	傳言	<span class="tone2">chuán</span> <span class="tone2">yán</span>	<ol><li>rumor</li><li>hearsay</li></ol>			
船员	船員	<span class="tone2">chuán</span> <span class="tone2">yuán</span>	<ol><li>sailor</li><li>crew member</li></ol>			
船长	船長	<span class="tone2">chuán</span> <span class="tone3">zhǎng</span>	<ol><li>captain (of a boat)</li><li>skipper</li></ol>			
船只	船隻	<span class="tone2">chuán</span> <span class="tone1">zhī</span>	<ol><li>ship</li><li>boat</li><li>vessel</li></ol>			
串		<span class="tone4">chuàn</span>	<ol><li>to string together</li><li>to skewer</li><li>to connect wrongly</li><li>to gang up</li><li>to rove</li><li>string</li><li>bunch</li><li>skewer</li><li>classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of</li><li>to make a swift or abrupt linear movement (like a bead on an abacus)</li><li>to move across</li></ol>			
窗口		<span class="tone1">chuāng</span> <span class="tone3">kǒu</span>	<ol><li>window</li><li>opening providing restricted access (e.g. customer service window)</li><li>computer operating system window</li><li>fig. medium</li><li>intermediary</li><li>showpiece</li><li>testing ground</li></ol>			
创办	創辦	<span class="tone4">chuàng</span> <span class="tone4">bàn</span>	<ol><li>to establish; to found</li></ol>			
创建	創建	<span class="tone4">chuàng</span> <span class="tone4">jiàn</span>	<ol><li>to found; to establish</li></ol>			
创意	創意	<span class="tone4">chuàng</span> <span class="tone4">yì</span>	<ol><li>creative</li><li>creativity</li></ol>			
此处	此處	<span class="tone3">cǐ</span> <span class="tone4">chù</span>	<ol><li>this place</li><li>here (literary)</li></ol>			
此次		<span class="tone3">cǐ</span> <span class="tone4">cì</span>	<ol><li>this time</li></ol>			
此前		<span class="tone3">cǐ</span> <span class="tone2">qián</span>	<ol><li>before this</li><li>before then</li><li>previously</li></ol>			
此事		<span class="tone3">cǐ</span> <span class="tone4">shì</span>	<ol><li>this matter</li></ol>			
此致		<span class="tone3">cǐ</span> <span class="tone4">zhì</span>	<ol><li>(used at the end of a letter to introduce a polite salutation)</li></ol>			
次数	次數	<span class="tone4">cì</span> <span class="tone4">shù</span>	<ol><li>number of times</li><li>frequency</li><li>order number (in a series)</li><li>power (math.)</li><li>degree of a polynomial (math.)</li></ol>			
从不	從不	<span class="tone2">cóng</span> <span class="tone4">bù</span>	<ol><li>never</li></ol>			
从没	從沒	<span class="tone2">cóng</span> <span class="tone2">méi</span>	<ol><li>never (in the past)</li><li>never did</li></ol>			
醋		<span class="tone4">cù</span>	<ol><li>vinegar</li><li>jealousy (in love rivalry)</li></ol>			
村庄	村莊	<span class="tone1">cūn</span> <span class="tone1">zhuāng</span>	<ol><li>village</li><li>hamlet</li></ol>	座(<span class="tone4">zuò</span>)		
错过	錯過	<span class="tone4">cuò</span> <span class="tone4">guò</span>	<ol><li>to miss (train, opportunity etc)</li></ol>			
搭		<span class="tone1">dā</span>	<ol><li>to put up</li><li>to build (scaffolding)</li><li>to hang (clothes on a pole)</li><li>to connect</li><li>to join</li><li>to arrange in pairs</li><li>to match</li><li>to add</li><li>to throw in (resources)</li><li>to take (boat, train)</li></ol>			<span class="nobr">答</span>
搭档	搭檔	<span class="tone1">dā</span> <span class="tone4">dàng</span>	<ol><li>to cooperate</li><li>partner</li></ol>			
搭配		<span class="tone1">dā</span> <span class="tone4">pèi</span>	<ol><li>to pair up</li><li>to match</li><li>to arrange in pairs</li><li>to add sth into a group</li></ol>			
打动	打動	<span class="tone3">dǎ</span> <span class="tone4">dòng</span>	<ol><li>to move (to pity)</li><li>arousing (sympathy)</li><li>touching</li></ol>			
打断	打斷	<span class="tone3">dǎ</span> <span class="tone4">duàn</span>	<ol><li>to interrupt</li><li>to break off</li><li>to break (a bone)</li></ol>			
打发	打發	<span class="tone3">dǎ</span> <span class="tone5">fa</span>	<ol><li>to dispatch sb to do sth</li><li>to make sb leave</li><li>to pass (the time)</li><li>(old) to make arrangements</li><li>(old) to bestow (alms etc)</li></ol>			
打官司		<span class="tone3">dǎ</span> <span class="tone1">guān</span> <span class="tone5">si</span>	<ol><li>to file a lawsuit</li><li>to sue</li><li>to dispute</li></ol>			
打牌		<span class="tone3">dǎ</span> <span class="tone2">pái</span>	<ol><li>to play mahjong or cards</li></ol>			
