#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
报道	報道	<span class="tone4">bào</span> <span class="tone4">dào</span>	<ol><li>to report (news)</li><li>report</li></ol>	篇(<span class="tone1">piān</span>), 份(<span class="tone4">fèn</span>)		<span class="nobr">报到</span>
报告	報告	<span class="tone4">bào</span> <span class="tone4">gào</span>	<ol><li>to inform</li><li>to report</li><li>to make known</li><li>report</li><li>speech</li><li>talk</li><li>lecture</li></ol>	篇(<span class="tone1">piān</span>), 份(<span class="tone4">fèn</span>), 个|個(<span class="tone4">gè</span>), 通(<span class="tone4">tòng</span>)		
北部		<span class="tone3">běi</span> <span class="tone4">bù</span>	<ol><li>northern part</li></ol>			
背后	背後	<span class="tone4">bèi</span> <span class="tone4">hòu</span>	<ol><li>behind</li><li>at the back</li><li>in the rear</li><li>behind sb's back</li></ol>			
被		<span class="tone4">bèi</span>	<ol><li>quilt</li><li>to cover (with)</li><li>(literary) to suffer (a misfortune)</li><li>used to indicate passive voice (placed before the doer of the action like "by" in English passive-voice sentences, or, if the doer is not mentioned, before the verb)</li><li>(since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊｜被旅游 to "go on a trip", for example)</li></ol>			<span class="nobr">背</span>
被子		<span class="tone4">bèi</span> <span class="tone5">zi</span>	<ol><li>quilt</li></ol>	床(<span class="tone2">chuáng</span>)		
本来	本來	<span class="tone3">běn</span> <span class="tone2">lái</span>	<ol><li>original</li><li>originally</li><li>at first</li><li>it goes without saying</li><li>of course</li></ol>			
本领	本領	<span class="tone3">běn</span> <span class="tone3">lǐng</span>	<ol><li>skill</li><li>ability</li><li>capability</li></ol>	项|項(<span class="tone4">xiàng</span>), 个|個(<span class="tone4">gè</span>)		
本事		<span class="tone3">běn</span> <span class="tone5">shi</span>	<ol><li>ability</li><li>skill</li></ol>			
本事		<span class="tone3">běn</span> <span class="tone4">shì</span>	<ol><li>source material</li><li>original story</li></ol>			
比较	比較	<span class="tone3">bǐ</span> <span class="tone4">jiào</span>	<ol><li>to compare</li><li>to contrast</li><li>comparatively</li><li>relatively</li><li>quite</li><li>comparison</li></ol>			
比例		<span class="tone3">bǐ</span> <span class="tone4">lì</span>	<ol><li>proportion</li><li>scale</li></ol>			
比赛	比賽	<span class="tone3">bǐ</span> <span class="tone4">sài</span>	<ol><li>competition (sports etc)</li><li>match</li><li>to compete</li></ol>	场|場(<span class="tone3">chǎng</span>), 次(<span class="tone4">cì</span>)		
必然		<span class="tone4">bì</span> <span class="tone2">rán</span>	<ol><li>inevitable</li><li>certain</li><li>necessity</li></ol>			
必要		<span class="tone4">bì</span> <span class="tone4">yào</span>	<ol><li>necessary</li><li>essential</li><li>indispensable</li><li>required</li></ol>			
变化	變化	<span class="tone4">biàn</span> <span class="tone4">huà</span>	<ol><li>(intransitive) to change; to vary</li><li>change; variation</li></ol>	个|個(<span class="tone4">gè</span>)		
变为	變為	<span class="tone4">biàn</span> <span class="tone2">wéi</span>	<ol><li>to change into</li></ol>			
标题	標題	<span class="tone1">biāo</span> <span class="tone2">tí</span>	<ol><li>title</li><li>heading</li><li>headline</li><li>caption</li><li>subject</li></ol>			
标准	標準	<span class="tone1">biāo</span> <span class="tone3">zhǔn</span>	<ol><li>standard; norm; criterion</li><li>(adjective) standard</li><li>good; correct; conforming to a standard</li></ol>			
表达	表達	<span class="tone3">biǎo</span> <span class="tone2">dá</span>	<ol><li>to express; to convey</li></ol>			
表格		<span class="tone3">biǎo</span> <span class="tone2">gé</span>	<ol><li>form</li><li>table</li></ol>	张|張(<span class="tone1">zhāng</span>), 份(<span class="tone4">fèn</span>)		
表面		<span class="tone3">biǎo</span> <span class="tone4">miàn</span>	<ol><li>surface</li><li>face</li><li>outside</li><li>appearance</li></ol>			
表明		<span class="tone3">biǎo</span> <span class="tone2">míng</span>	<ol><li>to make clear</li><li>to make known</li><li>to state clearly</li><li>to indicate</li><li>known</li></ol>			
表现	表現	<span class="tone3">biǎo</span> <span class="tone4">xiàn</span>	<ol><li>to show</li><li>to show off</li><li>to display</li><li>to manifest</li><li>expression</li><li>manifestation</li><li>show</li><li>display</li><li>performance (at work etc)</li><li>behavior</li></ol>			
表演		<span class="tone3">biǎo</span> <span class="tone3">yǎn</span>	<ol><li>play</li><li>show</li><li>performance</li><li>exhibition</li><li>to perform</li><li>to act</li><li>to demonstrate</li></ol>	场|場(<span class="tone3">chǎng</span>)		
并	並	<span class="tone4">bìng</span>	<ol><li>and</li><li>furthermore</li><li>also</li><li>together with</li><li>(not) at all</li><li>simultaneously</li><li>to combine</li><li>to join</li><li>to merge</li></ol>			<span class="nobr">病</span>
并	併	<span class="tone4">bìng</span>	<ol><li>to combine</li><li>to amalgamate</li></ol>			<span class="nobr">病</span>
并		<span class="tone1">Bīng</span>	<ol><li>short name for Taiyuan 太原</li></ol>			
并且	並且	<span class="tone4">bìng</span> <span class="tone3">qiě</span>	<ol><li>and; besides; moreover; furthermore; in addition</li></ol>			
播出		<span class="tone1">bō</span> <span class="tone1">chū</span>	<ol><li>to broadcast</li><li>to air (a TV program etc)</li></ol>			
播放		<span class="tone1">bō</span> <span class="tone4">fàng</span>	<ol><li>to broadcast; to transmit (by radio or TV)</li></ol>			
不必		<span class="tone4">bù</span> <span class="tone4">bì</span>	<ol><li>need not</li><li>does not have to</li><li>not necessarily</li></ol>			
不断	不斷	<span class="tone4">bù</span> <span class="tone4">duàn</span>	<ol><li>unceasing</li><li>uninterrupted</li><li>continuous</li><li>constant</li></ol>			
不论	不論	<span class="tone4">bù</span> <span class="tone4">lùn</span>	<ol><li>whatever</li><li>no matter what (who, how etc)</li><li>regardless of</li><li>not to discuss</li></ol>			
补	補	<span class="tone3">bǔ</span>	<ol><li>to repair</li><li>to patch</li><li>to mend</li><li>to make up for</li><li>to fill (a vacancy)</li><li>to supplement</li></ol>			
补充	補充	<span class="tone3">bǔ</span> <span class="tone1">chōng</span>	<ol><li>to replenish</li><li>to supplement</li><li>to complement</li><li>additional</li><li>supplementary</li></ol>	个|個(<span class="tone4">gè</span>)		
不安		<span class="tone4">bù</span> <span class="tone1">ān</span>	<ol><li>unpeaceful</li><li>unstable</li><li>uneasy</li><li>disturbed</li><li>restless</li><li>worried</li></ol>			
不得不		<span class="tone4">bù</span> <span class="tone2">dé</span> <span class="tone4">bù</span>	<ol><li>have no choice or option but to</li><li>cannot but</li><li>have to</li><li>can't help it</li><li>can't avoid</li></ol>			
不光		<span class="tone4">bù</span> <span class="tone1">guāng</span>	<ol><li>not the only one</li><li>not only</li></ol>			
不仅	不僅	<span class="tone4">bù</span> <span class="tone3">jǐn</span>	<ol><li>not just; not limited to</li><li>(as a correlative conjunction) not only (..., but also ...)</li></ol>			
布		<span class="tone4">bù</span>	<ol><li>cloth</li><li>to declare</li><li>to announce</li><li>to spread</li><li>to make known</li></ol>			<span class="nobr">不</span>
布	佈	<span class="tone4">bù</span>	<ol><li>to announce</li><li>to spread</li></ol>			<span class="nobr">不</span>
步		<span class="tone4">bù</span>	<ol><li>a step</li><li>a pace</li><li>walk</li><li>march</li><li>stages in a process</li><li>situation</li></ol>			<span class="nobr">不</span> <span class="nobr">布</span>
步		<span class="tone4">Bù</span>	<ol><li>surname Bu</li></ol>			
部		<span class="tone4">bù</span>	<ol><li>ministry</li><li>department</li><li>section</li><li>part</li><li>division</li><li>troops</li><li>board</li><li>classifier for works of literature, films, machines etc</li></ol>			<span class="nobr">不</span> <span class="nobr">布</span> <span class="nobr">步</span>
部门	部門	<span class="tone4">bù</span> <span class="tone2">mén</span>	<ol><li>department</li><li>branch</li><li>section</li><li>division</li></ol>	个|個(<span class="tone4">gè</span>)		
部长	部長	<span class="tone4">bù</span> <span class="tone3">zhǎng</span>	<ol><li>head of a (government etc) department</li><li>section chief</li><li>section head</li><li>secretary</li><li>minister</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>), 名(<span class="tone2">míng</span>)		
才能		<span class="tone2">cái</span> <span class="tone2">néng</span>	<ol><li>talent</li><li>ability</li><li>capacity</li></ol>			
采取	採取	<span class="tone3">cǎi</span> <span class="tone3">qǔ</span>	<ol><li>to adopt or carry out (measures, policies, course of action)</li><li>to take</li></ol>			
采用	採用	<span class="tone3">cǎi</span> <span class="tone4">yòng</span>	<ol><li>to adopt</li><li>to employ</li><li>to use</li></ol>			
彩色		<span class="tone3">cǎi</span> <span class="tone4">sè</span>	<ol><li>color</li><li>multicolored</li></ol>	种|種(<span class="tone3">zhǒng</span>)		
曾经	曾經	<span class="tone2">céng</span> <span class="tone1">jīng</span>	<ol><li>once</li><li>already</li><li>former</li><li>previously</li><li>ever</li><li>(past tense marker used before verb or clause)</li></ol>			
产生	產生	<span class="tone3">chǎn</span> <span class="tone1">shēng</span>	<ol><li>to arise; to come into being; to come about</li><li>to give rise to; to bring into being; to bring about; to produce; to engender; to generate</li></ol>			
长城	長城	<span class="tone2">Cháng</span> <span class="tone2">chéng</span>	<ol><li>the Great Wall</li></ol>			
长处	長處	<span class="tone2">cháng</span> <span class="tone4">chù</span>	<ol><li>good aspects</li><li>strong points</li></ol>			
长期	長期	<span class="tone2">cháng</span> <span class="tone1">qī</span>	<ol><li>long term</li><li>long time</li><li>long range (of a forecast)</li></ol>			
厂	廠	<span class="tone3">chǎng</span>	<ol><li>factory</li><li>yard</li><li>depot</li><li>workhouse</li><li>works</li><li>(industrial) plant</li></ol>			<span class="nobr">场</span>
厂		<span class="tone3">hǎn</span>	<ol><li>"cliff" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc</li></ol>			<span class="nobr">喊</span>
场合	場合	<span class="tone3">chǎng</span> <span class="tone2">hé</span>	<ol><li>situation</li><li>occasion</li><li>context</li><li>setting</li><li>location</li><li>venue</li></ol>			
场所	場所	<span class="tone3">chǎng</span> <span class="tone3">suǒ</span>	<ol><li>location</li><li>place</li></ol>			
超级	超級	<span class="tone1">chāo</span> <span class="tone2">jí</span>	<ol><li>super-</li><li>ultra-</li><li>hyper-</li></ol>			
朝		<span class="tone2">cháo</span>	<ol><li>imperial or royal court</li><li>government</li><li>dynasty</li><li>reign of a sovereign or emperor</li><li>court or assembly held by a sovereign or emperor</li><li>to make a pilgrimage to</li><li>facing</li><li>towards</li></ol>			
朝		<span class="tone1">zhāo</span>	<ol><li>morning</li></ol>			
吵		<span class="tone3">chǎo</span>	<ol><li>to quarrel</li><li>to make a noise</li><li>noisy</li><li>to disturb by making a noise</li></ol>			
吵架		<span class="tone3">chǎo</span> <span class="tone4">jià</span>	<ol><li>to quarrel</li><li>to have a row</li><li>quarrel</li></ol>	顿|頓(<span class="tone4">dùn</span>)		
衬衫	襯衫	<span class="tone4">chèn</span> <span class="tone1">shān</span>	<ol><li>shirt</li><li>blouse</li></ol>	件(<span class="tone4">jiàn</span>)		
衬衣	襯衣	<span class="tone4">chèn</span> <span class="tone1">yī</span>	<ol><li>shirt</li></ol>	件(<span class="tone4">jiàn</span>)		
称为	稱為	<span class="tone1">chēngwéi</span>	<ol><li>to be called; to be known as; to call it "..."</li></ol>			
成功		<span class="tone2">chéng</span> <span class="tone1">gōng</span>	<ol><li>to succeed</li><li>success</li><li>successful; fruitful</li></ol>			
成功		<span class="tone2">Chéng</span> <span class="tone1">gōng</span>	<ol><li>Chenggong or Chengkung town in Taitung County 臺東縣｜台东县, southeast Taiwan</li></ol>			
成果		<span class="tone2">chéng</span> <span class="tone3">guǒ</span>	<ol><li>result</li><li>achievement</li><li>gain</li><li>profit</li></ol>	个|個(<span class="tone4">gè</span>)		
成就		<span class="tone2">chéng</span> <span class="tone4">jiù</span>	<ol><li>accomplishment</li><li>success</li><li>achievement</li><li>to achieve (a result)</li><li>to create</li><li>to bring about</li></ol>	个|個(<span class="tone4">gè</span>)		
成立		<span class="tone2">chéng</span> <span class="tone4">lì</span>	<ol><li>to establish</li><li>to set up</li><li>to be tenable</li><li>to hold water</li></ol>			
成熟		<span class="tone2">chéng</span> <span class="tone2">shú</span>	<ol><li>mature; ripe</li><li>to mature; to ripen</li></ol>		<span class="tone2">chéng</span> <span class="tone2">shóu</span>	
成员	成員	<span class="tone2">chéng</span> <span class="tone2">yuán</span>	<ol><li>member</li></ol>			
成长	成長	<span class="tone2">chéng</span> <span class="tone3">zhǎng</span>	<ol><li>to mature</li><li>to grow</li><li>growth</li></ol>			
城		<span class="tone2">chéng</span>	<ol><li>city walls</li><li>city</li><li>town</li></ol>	座(<span class="tone4">zuò</span>), 道(<span class="tone4">dào</span>), 个|個(<span class="tone4">gè</span>)		<span class="nobr">成</span>
城市		<span class="tone2">chéng</span> <span class="tone4">shì</span>	<ol><li>city; town</li></ol>	座(<span class="tone4">zuò</span>)		
程度		<span class="tone2">chéng</span> <span class="tone4">dù</span>	<ol><li>degree; level; extent</li></ol>			
持续	持續	<span class="tone2">chí</span> <span class="tone4">xù</span>	<ol><li>to continue</li><li>to persist</li><li>to last</li><li>sustainable</li><li>preservation</li></ol>			
充满	充滿	<span class="tone1">chōng</span> <span class="tone3">mǎn</span>	<ol><li>full of</li><li>brimming with</li><li>very full</li><li>permeated</li></ol>			
重		<span class="tone4">zhòng</span>	<ol><li>heavy</li><li>serious</li><li>to attach importance to</li></ol>			
重		<span class="tone2">chóng</span>	<ol><li>to repeat</li><li>repetition</li><li>again</li><li>re-</li><li>classifier: layer</li></ol>			
初		<span class="tone1">chū</span>	<ol><li>at first</li><li>(at the) beginning</li><li>first</li><li>junior</li><li>basic</li></ol>			<span class="nobr">出</span>
初步		<span class="tone1">chū</span> <span class="tone4">bù</span>	<ol><li>initial</li><li>preliminary</li><li>tentative</li></ol>			
初级	初級	<span class="tone1">chū</span> <span class="tone2">jí</span>	<ol><li>junior</li><li>primary</li></ol>			
初中		<span class="tone1">chū</span> <span class="tone1">zhōng</span>	<ol><li>junior high school (abbr. for 初級中學｜初级中学)</li></ol>			
除了		<span class="tone2">chú</span> <span class="tone5">le</span>	<ol><li>besides</li><li>apart from (... also...)</li><li>in addition to</li><li>except (for)</li></ol>			
处理	處理	<span class="tone3">chǔ</span> <span class="tone3">lǐ</span>	<ol><li>to handle; to deal with</li><li>to punish</li><li>to treat sth by a special process; to process</li><li>to sell at reduced prices</li></ol>			
传	傳	<span class="tone2">chuán</span>	<ol><li>to pass on</li><li>to spread</li><li>to transmit</li><li>to infect</li><li>to transfer</li><li>to circulate</li><li>to conduct (electricity)</li></ol>			<span class="nobr">船</span>
传	傳	<span class="tone4">zhuàn</span>	<ol><li>biography</li><li>historical narrative</li><li>commentaries</li><li>relay station</li></ol>			
传播	傳播	<span class="tone2">chuán</span> <span class="tone1">bō</span>	<ol><li>to disseminate; to propagate; to spread</li></ol>			
传来	傳來	<span class="tone2">chuán</span> <span class="tone2">lái</span>	<ol><li>(of a sound) to come through</li><li>to be heard</li><li>(of news) to arrive</li></ol>			
传说	傳說	<span class="tone2">chuán</span> <span class="tone1">shuō</span>	<ol><li>legend; folk tale</li><li>to repeat from mouth to mouth; they say that...</li></ol>			
创新	創新	<span class="tone4">chuàng</span> <span class="tone1">xīn</span>	<ol><li>to bring forth new ideas; to blaze new trails</li><li>innovation</li></ol>			
创业	創業	<span class="tone4">chuàng</span> <span class="tone4">yè</span>	<ol><li>to begin an undertaking; to start an enterprise</li><li>entrepreneurship</li></ol>			
创造	創造	<span class="tone4">chuàng</span> <span class="tone4">zào</span>	<ol><li>to create</li><li>to bring about</li><li>to produce</li><li>to set (a record)</li></ol>			
创作	創作	<span class="tone4">chuàng</span> <span class="tone4">zuò</span>	<ol><li>to create; to produce; to write</li><li>a creative work; a creation</li></ol>			
从来	從來	<span class="tone2">cóng</span> <span class="tone2">lái</span>	<ol><li>always</li><li>at all times</li><li>never (if used in negative sentence)</li></ol>			
从前	從前	<span class="tone2">cóng</span> <span class="tone2">qián</span>	<ol><li>previously</li><li>formerly</li><li>once upon a time</li></ol>			
从事	從事	<span class="tone2">cóng</span> <span class="tone4">shì</span>	<ol><li>to go for</li><li>to engage in</li><li>to undertake</li><li>to deal with</li><li>to handle</li><li>to do</li></ol>			
村		<span class="tone1">cūn</span>	<ol><li>village</li></ol>			
存		<span class="tone2">cún</span>	<ol><li>to exist</li><li>to deposit</li><li>to store</li><li>to keep</li><li>to survive</li></ol>			
存在		<span class="tone2">cún</span> <span class="tone4">zài</span>	<ol><li>to exist</li><li>to be</li><li>existence</li></ol>			
错误	錯誤	<span class="tone4">cuò</span> <span class="tone4">wù</span>	<ol><li>mistaken; false; wrong</li><li>error; mistake</li></ol>	个|個(<span class="tone4">gè</span>)		
达到	達到	<span class="tone2">dá</span> <span class="tone4">dào</span>	<ol><li>to reach; to achieve; to attain</li></ol>			
打破		<span class="tone3">dǎ</span> <span class="tone4">pò</span>	<ol><li>to break; to smash</li></ol>			
打听	打聽	<span class="tone3">dǎ</span> <span class="tone5">ting</span>	<ol><li>to ask about</li><li>to make some inquiries</li><li>to ask around</li></ol>			
大概		<span class="tone4">dà</span> <span class="tone4">gài</span>	<ol><li>roughly</li><li>probably</li><li>rough</li><li>approximate</li><li>about</li><li>general idea</li></ol>			
大使馆	大使館	<span class="tone4">dà</span> <span class="tone3">shǐ</span> <span class="tone3">guǎn</span>	<ol><li>embassy</li></ol>	座(<span class="tone4">zuò</span>), 个|個(<span class="tone4">gè</span>)		
大约	大約	<span class="tone4">dà</span> <span class="tone1">yuē</span>	<ol><li>approximately</li><li>probably</li></ol>			
大夫		<span class="tone4">dài</span> <span class="tone5">fu</span>	<ol><li>doctor</li><li>physician</li></ol>			
大夫		<span class="tone4">dà</span> <span class="tone1">fū</span>	<ol><li>senior official (in imperial China)</li></ol>			
代		<span class="tone4">dài</span>	<ol><li>to substitute</li><li>to act on behalf of others</li><li>to replace</li><li>generation</li><li>dynasty</li><li>age</li><li>period</li><li>(historical) era</li><li>(geological) eon</li></ol>			<span class="nobr">大</span> <span class="nobr">带</span>
代表		<span class="tone4">dài</span> <span class="tone3">biǎo</span>	<ol><li>representative</li><li>delegate</li><li>to represent</li><li>to stand for</li><li>on behalf of</li><li>in the name of</li></ol>	位(<span class="tone4">wèi</span>), 个|個(<span class="tone4">gè</span>), 名(<span class="tone2">míng</span>)		
代表团	代表團	<span class="tone4">dài</span> <span class="tone3">biǎo</span> <span class="tone2">tuán</span>	<ol><li>delegation</li></ol>	个|個(<span class="tone4">gè</span>)		
带动	帶動	<span class="tone4">dài</span> <span class="tone4">dòng</span>	<ol><li>to spur; to provide impetus; to drive</li></ol>			
带领	帶領	<span class="tone4">dài</span> <span class="tone3">lǐng</span>	<ol><li>to guide</li><li>to lead</li></ol>			
单元	單元	<span class="tone1">dān</span> <span class="tone2">yuán</span>	<ol><li>unit (forming an entity)</li><li>element</li><li>(in a residential building) entrance or staircase</li></ol>			
当初	當初	<span class="tone1">dāng</span> <span class="tone1">chū</span>	<ol><li>at that time</li><li>originally</li></ol>			
当地	當地	<span class="tone1">dāng</span> <span class="tone4">dì</span>	<ol><li>local</li></ol>			
当然	當然	<span class="tone1">dāng</span> <span class="tone2">rán</span>	<ol><li>only natural</li><li>as it should be</li><li>certainly</li><li>of course</li><li>without doubt</li></ol>			
当中	當中	<span class="tone1">dāng</span> <span class="tone1">zhōng</span>	<ol><li>among</li><li>in the middle</li><li>in the center</li></ol>			
刀		<span class="tone1">dāo</span>	<ol><li>knife</li><li>blade</li><li>single-edged sword</li><li>cutlass</li><li>(slang) dollar (loanword)</li><li>classifier for sets of one hundred sheets (of paper)</li><li>classifier for knife cuts or stabs</li></ol>	把(<span class="tone3">bǎ</span>)		
刀		<span class="tone1">Dāo</span>	<ol><li>surname Dao</li></ol>			
导演	導演	<span class="tone3">dǎo</span> <span class="tone3">yǎn</span>	<ol><li>to direct</li><li>director (film etc)</li></ol>			
到达	到達	<span class="tone4">dào</span> <span class="tone2">dá</span>	<ol><li>to reach; to arrive</li></ol>			
到底		<span class="tone4">dào</span> <span class="tone3">dǐ</span>	<ol><li>finally</li><li>in the end</li><li>when all is said and done</li><li>after all</li><li>to the end</li><li>to the last</li></ol>			
得分		<span class="tone2">dé</span> <span class="tone1">fēn</span>	<ol><li>to score</li></ol>			
等待		<span class="tone3">děng</span> <span class="tone4">dài</span>	<ol><li>to wait; to wait for</li></ol>			
底下		<span class="tone3">dǐ</span> <span class="tone5">xia</span>	<ol><li>the location below sth</li><li>afterwards</li></ol>			
地区	地區	<span class="tone4">dì</span> <span class="tone1">qū</span>	<ol><li>local</li><li>regional</li><li>district (not necessarily formal administrative unit)</li><li>region</li><li>area</li><li>as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)</li></ol>	个|個(<span class="tone4">gè</span>)		
电视剧	電視劇	<span class="tone4">diàn</span> <span class="tone4">shì</span> <span class="tone4">jù</span>	<ol><li>TV series</li><li>TV drama</li></ol>	部(<span class="tone4">bù</span>)		
电视台	電視臺	<span class="tone4">diàn</span> <span class="tone4">shì</span> <span class="tone2">tái</span>	<ol><li>television station</li></ol>	个|個(<span class="tone4">gè</span>)		
电台	電臺	<span class="tone4">diàn</span> <span class="tone2">tái</span>	<ol><li>transmitter-receiver</li><li>broadcasting station</li><li>radio station</li></ol>	个|個(<span class="tone4">gè</span>), 家(<span class="tone1">jiā</span>)		
电子邮件	電子郵件	<span class="tone4">diàn</span> <span class="tone3">zǐ</span> <span class="tone2">yóu</span> <span class="tone4">jiàn</span>	<ol><li>email</li></ol>	封(<span class="tone1">fēng</span>), 份(<span class="tone4">fèn</span>)		
调	調	<span class="tone4">diào</span>	<ol><li>to transfer</li><li>to move (troops or cadres)</li><li>to investigate</li><li>to enquire into</li><li>accent</li><li>view</li><li>argument</li><li>key (in music)</li><li>mode (music)</li><li>tune</li><li>tone</li><li>melody</li></ol>			<span class="nobr">掉</span>
调	調	<span class="tone2">tiáo</span>	<ol><li>to harmonize</li><li>to reconcile</li><li>to blend</li><li>to suit well</li><li>to adjust</li><li>to regulate</li><li>to season (food)</li><li>to provoke</li><li>to incite</li></ol>			<span class="nobr">条</span>
调查	調查	<span class="tone4">diào</span> <span class="tone2">chá</span>	<ol><li>investigation</li><li>inquiry</li><li>to investigate</li><li>to survey</li><li>survey</li><li>(opinion) poll</li></ol>	项|項(<span class="tone4">xiàng</span>), 个|個(<span class="tone4">gè</span>)		
订	訂	<span class="tone4">dìng</span>	<ol><li>to agree</li><li>to conclude</li><li>to draw up</li><li>to subscribe to (a newspaper etc)</li><li>to order</li></ol>			
定期		<span class="tone4">dìng</span> <span class="tone1">qī</span>	<ol><li>at set dates</li><li>at regular intervals</li><li>periodic</li><li>limited to a fixed period of time</li><li>fixed term</li></ol>			
东部	東部	<span class="tone1">dōng</span> <span class="tone4">bù</span>	<ol><li>the east</li><li>eastern part</li></ol>			
