#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
重复	重複	<span class="tone2">chóng</span> <span class="tone4">fù</span>	<ol><li>to repeat</li><li>to duplicate</li></ol>	个|個(<span class="tone4">gè</span>)		
重新		<span class="tone2">chóng</span> <span class="tone1">xīn</span>	<ol><li>again; once more; re-</li></ol>			
出发	出發	<span class="tone1">chū</span> <span class="tone1">fā</span>	<ol><li>to set off</li><li>to start (on a journey)</li></ol>			
出国	出國	<span class="tone1">chū</span> <span class="tone2">guó</span>	<ol><li>to go abroad; to leave the country</li></ol>			
出口		<span class="tone1">chū</span> <span class="tone3">kǒu</span>	<ol><li>an exit</li><li>to speak</li><li>to export</li><li>(of a ship) to leave port</li></ol>	个|個(<span class="tone4">gè</span>)		
出门	出門	<span class="tone1">chū</span> <span class="tone2">mén</span>	<ol><li>to go out</li><li>to leave home</li><li>to go on a journey</li><li>away from home</li><li>(of a woman) to get married</li></ol>			
出生		<span class="tone1">chū</span> <span class="tone1">shēng</span>	<ol><li>to be born</li></ol>			
出现	出現	<span class="tone1">chū</span> <span class="tone4">xiàn</span>	<ol><li>to appear</li><li>to arise</li><li>to emerge</li><li>to show up</li></ol>			
出院		<span class="tone1">chū</span> <span class="tone4">yuàn</span>	<ol><li>to leave hospital</li><li>to be discharged from hospital</li></ol>			
出租		<span class="tone1">chū</span> <span class="tone1">zū</span>	<ol><li>to rent</li></ol>			
出租车	出租車	<span class="tone1">chū</span> <span class="tone1">zū</span> <span class="tone1">chē</span>	<ol><li>taxi</li><li>(Tw) rental car</li></ol>			
船		<span class="tone2">chuán</span>	<ol><li>boat</li><li>vessel</li><li>ship</li></ol>	条|條(<span class="tone2">tiáo</span>), 艘(<span class="tone1">sōu</span>), 只|隻(<span class="tone1">zhī</span>)		
吹		<span class="tone1">chuī</span>	<ol><li>to blow</li><li>to play a wind instrument</li><li>to blast</li><li>to puff</li><li>to boast</li><li>to brag</li><li>to end in failure</li><li>to fall through</li></ol>			
春节	春節	<span class="tone1">Chūn</span> <span class="tone2">jié</span>	<ol><li>Spring Festival (Chinese New Year)</li></ol>			
春天		<span class="tone1">chūn</span> <span class="tone1">tiān</span>	<ol><li>spring (season)</li></ol>	个|個(<span class="tone4">gè</span>)		
词	詞	<span class="tone2">cí</span>	<ol><li>word</li><li>statement; speech; lyrics</li><li>a form of lyric poetry, flourishing in the Song dynasty 宋朝 (CL:首)</li></ol>			
词	䛐	<span class="tone2">cí</span>	<ol><li>old variant of 詞｜词</li></ol>			
词典	詞典	<span class="tone2">cí</span> <span class="tone3">diǎn</span>	<ol><li>dictionary</li><li>also written 辭典｜辞典</li></ol>	部(<span class="tone4">bù</span>), 本(<span class="tone3">běn</span>)		
词语	詞語	<span class="tone2">cí</span> <span class="tone3">yǔ</span>	<ol><li>word (general term including monosyllables through to short phrases)</li><li>term (e.g. technical term)</li><li>expression</li></ol>			
从小	從小	<span class="tone2">cóng</span> <span class="tone3">xiǎo</span>	<ol><li>from childhood; from a young age</li></ol>			
答应	答應	<span class="tone1">dā</span> <span class="tone5">ying</span>	<ol><li>to answer; to respond</li><li>to answer positively; to agree; to accept; to promise</li></ol>			
打工		<span class="tone3">dǎ</span> <span class="tone1">gōng</span>	<ol><li>to work a temporary or casual job</li><li>(of students) to have a job outside of class time, or during vacation</li></ol>			
打算		<span class="tone3">dǎ</span> <span class="tone4">suàn</span>	<ol><li>to plan</li><li>to intend</li><li>to calculate</li><li>plan</li><li>intention</li><li>calculation</li></ol>	个|個(<span class="tone4">gè</span>)		
打印		<span class="tone3">dǎ</span> <span class="tone4">yìn</span>	<ol><li>to affix a seal</li><li>to stamp</li><li>to print out (with a printer)</li></ol>			
大部分		<span class="tone4">dà</span> <span class="tone4">bù</span> <span class="tone5">fen</span>	<ol><li>in large part</li><li>the greater part</li><li>the majority</li></ol>			
大大		<span class="tone4">dà</span> <span class="tone4">dà</span>	<ol><li>greatly</li><li>enormously</li><li>(dialect) dad</li><li>uncle</li></ol>			
大多数	大多數	<span class="tone4">dà</span> <span class="tone1">duō</span> <span class="tone4">shù</span>	<ol><li>(great) majority</li></ol>			
大海		<span class="tone4">dà</span> <span class="tone3">hǎi</span>	<ol><li>sea</li><li>ocean</li></ol>			
大家		<span class="tone4">dà</span> <span class="tone1">jiā</span>	<ol><li>everyone</li><li>influential family</li><li>great expert</li></ol>			
大量		<span class="tone4">dà</span> <span class="tone4">liàng</span>	<ol><li>great amount</li><li>large quantity</li><li>bulk</li><li>numerous</li><li>generous</li><li>magnanimous</li></ol>			
大门	大門	<span class="tone4">dà</span> <span class="tone2">mén</span>	<ol><li>entrance</li><li>door</li><li>gate</li><li>large and influential family</li></ol>			
大门	大門	<span class="tone4">Dà</span> <span class="tone2">mén</span>	<ol><li>the Doors, US rock band</li></ol>			
大人		<span class="tone4">dà</span> <span class="tone5">ren</span>	<ol><li>adult</li><li>grownup</li><li>title of respect toward superiors</li></ol>			
大声	大聲	<span class="tone4">dà</span> <span class="tone1">shēng</span>	<ol><li>loud voice</li><li>in a loud voice</li><li>loudly</li></ol>			
大小		<span class="tone4">dà</span> <span class="tone3">xiǎo</span>	<ol><li>large and small</li><li>size</li><li>adults and children</li><li>consideration of seniority</li><li>at any rate</li></ol>			
大衣		<span class="tone4">dà</span> <span class="tone1">yī</span>	<ol><li>overcoat</li><li>topcoat</li><li>cloak</li></ol>	件(<span class="tone4">jiàn</span>)		
大自然		<span class="tone4">dà</span> <span class="tone4">zì</span> <span class="tone2">rán</span>	<ol><li>nature (the natural world)</li></ol>			
带	帶	<span class="tone4">dài</span>	<ol><li>band</li><li>belt</li><li>girdle</li><li>ribbon</li><li>tire</li><li>area</li><li>zone</li><li>region</li><li>to wear</li><li>to carry</li><li>to take along</li><li>to bear (i.e. to have)</li><li>to lead</li><li>to bring</li><li>to look after</li><li>to raise</li></ol>	条|條(<span class="tone2">tiáo</span>)		<span class="nobr">大</span>
带来	帶來	<span class="tone4">dài</span> <span class="tone2">lái</span>	<ol><li>to bring</li><li>(fig.) to bring about; to produce</li></ol>			
单位	單位	<span class="tone1">dān</span> <span class="tone4">wèi</span>	<ol><li>unit (of measure)</li><li>unit (group of people as a whole)</li><li>work unit (place of employment, esp. in the PRC prior to economic reform)</li></ol>	个|個(<span class="tone4">gè</span>)		
但		<span class="tone4">dàn</span>	<ol><li>but; yet; however; still</li><li>merely; only; just</li></ol>			
但是		<span class="tone4">dàn</span> <span class="tone4">shì</span>	<ol><li>but; however</li></ol>			
蛋		<span class="tone4">dàn</span>	<ol><li>egg</li><li>oval-shaped thing</li></ol>	个|個(<span class="tone4">gè</span>), 打(<span class="tone2">dá</span>)		<span class="nobr">但</span>
当	噹	<span class="tone1">dāng</span>	<ol><li>(onom.) dong</li><li>ding dong (bell)</li></ol>			
当	當	<span class="tone1">dāng</span>	<ol><li>to be</li><li>to act as</li><li>manage</li><li>withstand</li><li>when</li><li>during</li><li>ought</li><li>should</li><li>match equally</li><li>equal</li><li>same</li><li>obstruct</li><li>just at (a time or place)</li><li>on the spot</li><li>right</li><li>just at</li></ol>			
当	當	<span class="tone4">dàng</span>	<ol><li>at or in the very same...</li><li>suitable</li><li>adequate</li><li>fitting</li><li>proper</li><li>to replace</li><li>to regard as</li><li>to think</li><li>to pawn</li><li>(coll.) to fail (a student)</li></ol>			
当时	當時	<span class="tone1">dāng</span> <span class="tone2">shí</span>	<ol><li>then</li><li>at that time</li><li>while</li></ol>			
当时	當時	<span class="tone4">dàng</span> <span class="tone2">shí</span>	<ol><li>at once</li><li>right away</li></ol>			
倒		<span class="tone3">dǎo</span>	<ol><li>to fall; to collapse; to lie horizontally</li><li>to fail; to go bankrupt</li><li>to overthrow</li><li>to change (trains or buses)</li><li>to move around</li><li>to resell at a profit</li></ol>			
倒		<span class="tone4">dào</span>	<ol><li>to invert; to place upside down or frontside back</li><li>to pour out</li><li>to tip out; to dump</li><li>inverted; upside down; reversed</li><li>to go backward</li><li>contrary to what one might expect; but; yet</li></ol>			<span class="nobr">到</span>
到处	到處	<span class="tone4">dào</span> <span class="tone4">chù</span>	<ol><li>everywhere</li></ol>			
道		<span class="tone4">dào</span>	<ol><li>road; path (CL:條｜条,股)</li><li>(bound form) way; reason; principle</li><li>(bound form) a skill; an art; a specialization</li><li>(Daoism) the Way; the Dao</li><li>to say (introducing a direct quotation, as in a novel)</li><li>(bound form) to express; to extend (polite words)</li><li>classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process</li><li>(old) circuit (administrative division)</li></ol>			<span class="nobr">倒</span> <span class="nobr">到</span>
道理		<span class="tone4">dào</span> <span class="tone5">li</span>	<ol><li>reason</li><li>argument</li><li>sense</li><li>principle</li><li>basis</li><li>justification</li></ol>	个|個(<span class="tone4">gè</span>)		
道路		<span class="tone4">dào</span> <span class="tone4">lù</span>	<ol><li>road</li><li>path</li><li>way</li></ol>	条|條(<span class="tone2">tiáo</span>)		
得		<span class="tone2">dé</span>	<ol><li>to obtain</li><li>to get</li><li>to gain</li><li>to catch (a disease)</li><li>proper</li><li>suitable</li><li>proud</li><li>contented</li><li>to allow</li><li>to permit</li><li>ready</li><li>finished</li></ol>			
得		<span class="tone5">de</span>	<ol><li>structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc</li></ol>			<span class="nobr">地</span> <span class="nobr">的</span>
得		<span class="tone3">děi</span>	<ol><li>to have to</li><li>must</li><li>ought to</li><li>to need to</li></ol>			
得出		<span class="tone2">dé</span> <span class="tone1">chū</span>	<ol><li>to obtain (a result); to arrive at (a conclusion)</li></ol>			
的话	的話	<span class="tone5">de</span> <span class="tone4">huà</span>	<ol><li>if (coming after a conditional clause)</li></ol>			
灯	燈	<span class="tone1">dēng</span>	<ol><li>lamp</li><li>light</li><li>lantern</li></ol>	盏|盞(<span class="tone3">zhǎn</span>)		
等到		<span class="tone3">děng</span> <span class="tone4">dào</span>	<ol><li>to wait until</li><li>by the time when (sth is ready etc)</li></ol>			
等于	等於	<span class="tone3">děng</span> <span class="tone2">yú</span>	<ol><li>to equal</li><li>to be tantamount to</li></ol>			
低		<span class="tone1">dī</span>	<ol><li>low</li><li>beneath</li><li>to lower (one's head)</li><li>to let droop</li><li>to hang down</li><li>to incline</li></ol>			<span class="nobr">的</span>
地球		<span class="tone4">dì</span> <span class="tone2">qiú</span>	<ol><li>the earth</li></ol>	个|個(<span class="tone4">gè</span>)		
地铁	地鐵	<span class="tone4">dì</span> <span class="tone3">tiě</span>	<ol><li>underground railway; subway</li><li>subway train</li></ol>			
地铁站	地鐵站	<span class="tone4">dì</span> <span class="tone3">tiě</span> <span class="tone4">zhàn</span>	<ol><li>subway station</li></ol>			
点头	點頭	<span class="tone3">diǎn</span> <span class="tone2">tóu</span>	<ol><li>to nod</li></ol>			
店		<span class="tone4">diàn</span>	<ol><li>inn; old-style hotel (CL:家)</li><li>(bound form) shop; store</li></ol>			<span class="nobr">电</span>
掉		<span class="tone4">diào</span>	<ol><li>to fall</li><li>to drop</li><li>to lag behind</li><li>to lose</li><li>to go missing</li><li>to reduce</li><li>fall (in prices)</li><li>to lose (value, weight etc)</li><li>to wag</li><li>to swing</li><li>to turn</li><li>to change</li><li>to exchange</li><li>to swap</li><li>to show off</li><li>to shed (hair)</li><li>(used after certain verbs to express completion, fulfillment, removal etc)</li></ol>			
东北	東北	<span class="tone1">dōng</span> <span class="tone3">běi</span>	<ol><li>northeast</li></ol>			
东北	東北	<span class="tone1">Dōng</span> <span class="tone3">běi</span>	<ol><li>Northeast China</li><li>Manchuria</li></ol>			
东方	東方	<span class="tone1">dōng</span> <span class="tone1">fāng</span>	<ol><li>east</li></ol>			
东方	東方	<span class="tone1">Dōng</span> <span class="tone1">fāng</span>	<ol><li>the East</li><li>the Orient</li><li>two-character surname Dongfang</li></ol>			
东南	東南	<span class="tone1">dōng</span> <span class="tone2">nán</span>	<ol><li>southeast</li></ol>			
冬天		<span class="tone1">dōng</span> <span class="tone1">tiān</span>	<ol><li>winter</li></ol>	个|個(<span class="tone4">gè</span>)		
懂		<span class="tone3">dǒng</span>	<ol><li>to understand</li><li>to comprehend</li></ol>			
懂得		<span class="tone3">dǒng</span> <span class="tone5">de</span>	<ol><li>to understand; to know; to comprehend</li></ol>			
动物	動物	<span class="tone4">dòng</span> <span class="tone4">wù</span>	<ol><li>animal</li></ol>	只|隻(<span class="tone1">zhī</span>), 群(<span class="tone2">qún</span>), 个|個(<span class="tone4">gè</span>)		
动物园	動物園	<span class="tone4">dòng</span> <span class="tone4">wù</span> <span class="tone2">yuán</span>	<ol><li>zoo</li></ol>	个|個(<span class="tone4">gè</span>)		
读音	讀音	<span class="tone2">dú</span> <span class="tone1">yīn</span>	<ol><li>pronunciation</li><li>literary (rather than colloquial) pronunciation of a Chinese character</li></ol>			
度		<span class="tone4">dù</span>	<ol><li>to pass</li><li>to spend (time)</li><li>measure</li><li>limit</li><li>extent</li><li>degree of intensity</li><li>degree (angles, temperature etc)</li><li>kilowatt-hour</li><li>classifier for events and occurrences</li></ol>			
度		<span class="tone2">duó</span>	<ol><li>to estimate</li></ol>		<span class="tone4">duò</span>	
短		<span class="tone3">duǎn</span>	<ol><li>short</li><li>brief</li><li>to lack</li><li>weak point</li><li>fault</li></ol>			
短信		<span class="tone3">duǎn</span> <span class="tone4">xìn</span>	<ol><li>text message</li><li>SMS</li></ol>			
段		<span class="tone4">duàn</span>	<ol><li>paragraph</li><li>section</li><li>segment</li><li>stage (of a process)</li><li>classifier for stories, periods of time, lengths of thread etc</li></ol>			
段		<span class="tone4">Duàn</span>	<ol><li>surname Duan</li></ol>			
队	隊	<span class="tone4">duì</span>	<ol><li>squadron</li><li>team</li><li>group</li></ol>	个|個(<span class="tone4">gè</span>)		<span class="nobr">对</span>
队长	隊長	<span class="tone4">duì</span> <span class="tone3">zhǎng</span>	<ol><li>captain</li><li>team leader</li></ol>	个|個(<span class="tone4">gè</span>)		
对话	對話	<span class="tone4">duì</span> <span class="tone4">huà</span>	<ol><li>to talk (with sb)</li><li>dialogue; conversation</li></ol>			
对面	對面	<span class="tone4">duì</span> <span class="tone4">miàn</span>	<ol><li>(sitting) opposite</li><li>across (the street)</li><li>directly in front</li><li>to be face to face</li></ol>			
多久		<span class="tone1">duō</span> <span class="tone3">jiǔ</span>	<ol><li>(of time) how long?</li><li>(not) a long time</li></ol>			
多么	多麼	<span class="tone1">duō</span> <span class="tone5">me</span>	<ol><li>how (wonderful etc)</li><li>what (a great idea etc)</li><li>however (difficult it may be etc)</li><li>(in interrogative sentences) how (much etc)</li><li>to what extent</li></ol>			
多数	多數	<span class="tone1">duō</span> <span class="tone4">shù</span>	<ol><li>majority; most</li></ol>			
多云	多雲	<span class="tone1">duō</span> <span class="tone2">yún</span>	<ol><li>cloudy (meteorology)</li></ol>			
而且		<span class="tone2">ér</span> <span class="tone3">qiě</span>	<ol><li>(not only ...) but also</li><li>moreover</li><li>in addition</li><li>furthermore</li></ol>			
发	發	<span class="tone1">fā</span>	<ol><li>to send out</li><li>to show (one's feeling)</li><li>to issue</li><li>to develop</li><li>to make a bundle of money</li><li>classifier for gunshots (rounds)</li></ol>			
发	髮	<span class="tone4">fà</span>	<ol><li>hair</li></ol>		<span class="tone3">fǎ</span>	
发现	發現	<span class="tone1">fā</span> <span class="tone4">xiàn</span>	<ol><li>to notice; to become aware of</li><li>to discover; to find; to detect</li><li>a discovery</li></ol>			
饭馆	飯館	<span class="tone4">fàn</span> <span class="tone3">guǎn</span>	<ol><li>restaurant</li></ol>	家(<span class="tone1">jiā</span>)		
