#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
安宁	安寧	<span class="tone1">ān</span> <span class="tone2">níng</span>	<ol><li>peaceful</li><li>tranquil</li><li>calm</li><li>composed</li><li>free from worry</li></ol>			
安宁	安寧	<span class="tone1">Ān</span> <span class="tone2">níng</span>	<ol><li>Anning District of Lanzhou City 蘭州市｜兰州市, Gansu</li><li>Anning City, to the west of Kunming 昆明, Yunnan</li></ol>			
暗杀	暗殺	<span class="tone4">àn</span> <span class="tone1">shā</span>	<ol><li>to assassinate</li></ol>			
按说	按說	<span class="tone4">àn</span> <span class="tone1">shuō</span>	<ol><li>in the ordinary course of events; ordinarily; normally</li></ol>			
安稳	安穩	<span class="tone1">ān</span> <span class="tone3">wěn</span>	<ol><li>steady; stable; sedate; calm; (of sleep) sound; (of a transition) smooth</li></ol>			
安心		<span class="tone1">ān</span> <span class="tone1">xīn</span>	<ol><li>at ease</li><li>to feel relieved</li><li>to set one's mind at rest</li><li>to keep one's mind on sth</li></ol>			
安逸		<span class="tone1">ān</span> <span class="tone4">yì</span>	<ol><li>easy and comfortable</li><li>easy</li></ol>			
暗中		<span class="tone4">àn</span> <span class="tone1">zhōng</span>	<ol><li>in the dark</li><li>in secret</li><li>on the sly</li><li>surreptitiously</li></ol>			
昂贵	昂貴	<span class="tone2">áng</span> <span class="tone4">guì</span>	<ol><li>expensive</li><li>costly</li></ol>			
凹		<span class="tone1">āo</span>	<ol><li>concave; depressed; sunken; indented; female (connector etc)</li></ol>			
凹		<span class="tone1">wā</span>	<ol><li>(used in names)</li></ol>			<span class="nobr">哇</span> <span class="nobr">挖</span>
熬		<span class="tone2">áo</span>	<ol><li>to cook on a slow fire; to extract by heating; to decoct</li><li>to endure</li></ol>			
熬		<span class="tone1">āo</span>	<ol><li>to boil; to simmer</li></ol>			<span class="nobr">凹</span>
傲		<span class="tone4">ào</span>	<ol><li>proud</li><li>arrogant</li><li>to despise</li><li>unyielding</li><li>to defy</li></ol>			
傲慢		<span class="tone4">ào</span> <span class="tone4">màn</span>	<ol><li>arrogant</li><li>haughty</li></ol>			
奥秘	奧祕	<span class="tone4">ào</span> <span class="tone4">mì</span>	<ol><li>secret</li><li>mystery</li></ol>			
熬夜		<span class="tone2">áo</span> <span class="tone4">yè</span>	<ol><li>to stay up late or all night</li></ol>			
奥运会	奧運會	<span class="tone4">Ào</span> <span class="tone4">yùn</span> <span class="tone4">huì</span>	<ol><li>Olympic Games; the Olympics (abbr. for 奧林匹克運動會｜奥林匹克运动会)</li></ol>			
扒		<span class="tone1">bā</span>	<ol><li>to peel</li><li>to skin</li><li>to tear</li><li>to pull down</li><li>to cling to (sth on which one is climbing)</li><li>to dig</li></ol>			<span class="nobr">八</span> <span class="nobr">吧</span>
扒		<span class="tone2">pá</span>	<ol><li>to rake up</li><li>to steal</li><li>to braise</li><li>to crawl</li></ol>			<span class="nobr">爬</span>
坝	壩	<span class="tone4">bà</span>	<ol><li>dam</li><li>dike; embankment</li></ol>	条|條(<span class="tone2">tiáo</span>)		<span class="nobr">把</span> <span class="nobr">爸</span>
把柄		<span class="tone3">bǎ</span> <span class="tone3">bǐng</span>	<ol><li>handle</li><li>(fig.) information that can be used against sb</li></ol>			
巴不得		<span class="tone1">bā</span> <span class="tone5">bu</span> <span class="tone5">de</span>	<ol><li>(coll.) to be eager for</li><li>to long for</li><li>to look forward to</li></ol>			
八卦		<span class="tone1">bā</span> <span class="tone4">guà</span>	<ol><li>the eight divinatory trigrams of the Book of Changes 易經｜易经</li><li>gossip</li><li>gossipy</li></ol>			
把关	把關	<span class="tone3">bǎ</span> <span class="tone1">guān</span>	<ol><li>to guard a pass</li><li>to check on sth</li></ol>			
芭蕾		<span class="tone1">bā</span> <span class="tone3">lěi</span>	<ol><li>ballet (loanword)</li></ol>			
罢免	罷免	<span class="tone4">bà</span> <span class="tone3">miǎn</span>	<ol><li>to remove sb from their post</li><li>to dismiss</li></ol>			
把手		<span class="tone3">bǎ</span> <span class="tone5">shou</span>	<ol><li>handle</li><li>grip</li><li>knob</li></ol>			
把手		<span class="tone3">bǎ</span> <span class="tone3">shǒu</span>	<ol><li>to shake hands</li></ol>			
罢休	罷休	<span class="tone4">bà</span> <span class="tone1">xiū</span>	<ol><li>to give up</li><li>to abandon (a goal etc)</li><li>to let sth go</li><li>forget it</li><li>let the matter drop</li></ol>			
霸占	霸佔	<span class="tone4">bà</span> <span class="tone4">zhàn</span>	<ol><li>to occupy by force</li><li>to seize</li><li>to dominate</li></ol>			
靶子		<span class="tone3">bǎ</span> <span class="tone5">zi</span>	<ol><li>target</li></ol>			
掰		<span class="tone1">bāi</span>	<ol><li>to break off or break open sth with one's hands</li><li>(fig.) to break off (a relationship)</li></ol>			
白白		<span class="tone2">bái</span> <span class="tone2">bái</span>	<ol><li>in vain</li><li>to no purpose</li><li>for nothing</li><li>white</li></ol>			
摆放	擺放	<span class="tone3">bǎi</span> <span class="tone4">fàng</span>	<ol><li>to set up; to arrange; to lay out</li></ol>			
百分比		<span class="tone3">bǎi</span> <span class="tone1">fēn</span> <span class="tone3">bǐ</span>	<ol><li>percentage</li></ol>			
百合		<span class="tone3">bǎi</span> <span class="tone2">hé</span>	<ol><li>lily</li></ol>			
拜会	拜會	<span class="tone4">bài</span> <span class="tone4">huì</span>	<ol><li>(often used in the context of diplomacy) to meet with; to pay a visit to; to call on</li></ol>			
拜见	拜見	<span class="tone4">bài</span> <span class="tone4">jiàn</span>	<ol><li>to pay a formal visit</li><li>to call to pay respects</li><li>to meet one's senior or superior</li></ol>			
百科全书	百科全書	<span class="tone3">bǎi</span> <span class="tone1">kē</span> <span class="tone2">quán</span> <span class="tone1">shū</span>	<ol><li>encyclopedia</li></ol>	本(<span class="tone3">běn</span>), 集(<span class="tone2">jí</span>)		
拜年		<span class="tone4">bài</span> <span class="tone2">nián</span>	<ol><li>to pay a New Year call</li><li>to wish sb a Happy New Year</li></ol>			
摆平	擺平	<span class="tone3">bǎi</span> <span class="tone2">píng</span>	<ol><li>to be fair</li><li>to be impartial</li><li>to settle (a matter etc)</li></ol>			
摆设	擺設	<span class="tone3">bǎi</span> <span class="tone5">she</span>	<ol><li>ornament</li><li>decorative item</li><li>(fig.) sth that is merely for show</li></ol>			
摆设	擺設	<span class="tone3">bǎi</span> <span class="tone4">shè</span>	<ol><li>to set out</li><li>to display</li><li>to furnish (a room or house)</li></ol>			
柏树	柏樹	<span class="tone3">bǎi</span> <span class="tone4">shù</span>	<ol><li>cypress tree</li></ol>		<span class="tone2">bó</span> <span class="tone4">shù</span>	
拜托	拜託	<span class="tone4">bài</span> <span class="tone1">tuō</span>	<ol><li>to request sb to do sth</li><li>please!</li></ol>			
扳		<span class="tone1">bān</span>	<ol><li>to pull</li><li>to turn (sth) around</li><li>to turn around (a situation)</li><li>to recoup</li></ol>			<span class="nobr">搬</span> <span class="nobr">班</span>
扮		<span class="tone4">bàn</span>	<ol><li>to disguise oneself as</li><li>to dress up</li><li>to play (a role)</li><li>to put on (an expression)</li></ol>			<span class="nobr">办</span> <span class="nobr">半</span>
伴		<span class="tone4">bàn</span>	<ol><li>partner; companion; comrade; associate</li><li>to accompany</li></ol>			<span class="nobr">办</span> <span class="nobr">半</span> <span class="nobr">扮</span>
拌		<span class="tone4">bàn</span>	<ol><li>to mix</li><li>to mix in</li><li>to toss (a salad)</li></ol>			<span class="nobr">伴</span> <span class="nobr">办</span> <span class="nobr">半</span> <span class="nobr">扮</span>
半边天	半邊天	<span class="tone4">bàn</span> <span class="tone1">biān</span> <span class="tone1">tiān</span>	<ol><li>half the sky</li><li>women of the new society</li><li>womenfolk</li></ol>			
颁布	頒布	<span class="tone1">bān</span> <span class="tone4">bù</span>	<ol><li>to issue</li><li>to proclaim</li><li>to enact (laws, decrees etc)</li></ol>			
办不到	辦不到	<span class="tone4">bàn</span> <span class="tone5">bu</span> <span class="tone4">dào</span>	<ol><li>impossible</li><li>can't be done</li><li>no can do</li><li>unable to accomplish</li></ol>			
半场	半場	<span class="tone4">bàn</span> <span class="tone3">chǎng</span>	<ol><li>half of a game or contest</li><li>half-court</li></ol>			
半岛	半島	<span class="tone4">bàn</span> <span class="tone3">dǎo</span>	<ol><li>peninsula</li></ol>			
斑点	斑點	<span class="tone1">bān</span> <span class="tone3">diǎn</span>	<ol><li>spot</li><li>stain</li><li>speckle</li></ol>			
颁发	頒發	<span class="tone1">bān</span> <span class="tone1">fā</span>	<ol><li>to issue</li><li>to promulgate</li><li>to award</li></ol>			
颁奖	頒獎	<span class="tone1">bān</span> <span class="tone3">jiǎng</span>	<ol><li>to confer an award</li></ol>			
板块	板塊	<span class="tone3">bǎn</span> <span class="tone4">kuài</span>	<ol><li>slab</li><li>(geology) tectonic plate</li><li>(fig.) sector (of the stock market or of industry)</li><li>(economic) bloc</li></ol>			
半路		<span class="tone4">bàn</span> <span class="tone4">lù</span>	<ol><li>halfway</li><li>midway</li><li>on the way</li></ol>			
伴侣	伴侶	<span class="tone4">bàn</span> <span class="tone3">lǚ</span>	<ol><li>companion</li><li>mate</li><li>partner</li></ol>			
搬迁	搬遷	<span class="tone1">bān</span> <span class="tone1">qiān</span>	<ol><li>to move</li><li>to relocate</li><li>removal</li></ol>			
半数	半數	<span class="tone4">bàn</span> <span class="tone4">shù</span>	<ol><li>half the number; half</li></ol>			
伴随	伴隨	<span class="tone4">bàn</span> <span class="tone2">suí</span>	<ol><li>to accompany</li><li>to follow</li><li>to occur together with</li><li>concomitant</li></ol>			
半途而废	半途而廢	<span class="tone4">bàn</span> <span class="tone2">tú</span> <span class="tone2">ér</span> <span class="tone4">fèi</span>	<ol><li>to give up halfway (idiom); leave sth unfinished</li></ol>			
半信半疑		<span class="tone4">bàn</span> <span class="tone4">xìn</span> <span class="tone4">bàn</span> <span class="tone2">yí</span>	<ol><li>half doubting</li><li>dubious</li><li>skeptical</li></ol>			
半真半假		<span class="tone4">bàn</span> <span class="tone1">zhēn</span> <span class="tone4">bàn</span> <span class="tone3">jiǎ</span>	<ol><li>(idiom) half true and half false</li></ol>			
伴奏		<span class="tone4">bàn</span> <span class="tone4">zòu</span>	<ol><li>to accompany (musically)</li></ol>			
绑	綁	<span class="tone3">bǎng</span>	<ol><li>to tie</li><li>bind or fasten together</li><li>to kidnap</li></ol>			
磅		<span class="tone4">bàng</span>	<ol><li>scale (instrument for weighing)</li><li>to weigh</li><li>(loanword) pound (unit of weight, about 454 grams)</li><li>(printing) point (unit used to measure the size of type)</li></ol>			<span class="nobr">棒</span>
磅		<span class="tone2">páng</span>	<ol><li>used in 磅礴</li></ol>		<span class="tone1">pāng</span>	<span class="nobr">旁</span>
绑架	綁架	<span class="tone3">bǎng</span> <span class="tone4">jià</span>	<ol><li>to kidnap</li><li>to abduct</li><li>to hijack</li><li>a kidnapping</li><li>abduction</li><li>staking</li></ol>			
棒球		<span class="tone4">bàng</span> <span class="tone2">qiú</span>	<ol><li>baseball</li></ol>	个|個(<span class="tone4">gè</span>), 只|隻(<span class="tone1">zhī</span>)		
帮手	幫手	<span class="tone1">bāng</span> <span class="tone3">shǒu</span>	<ol><li>helper; assistant</li></ol>			
榜样	榜樣	<span class="tone3">bǎng</span> <span class="tone4">yàng</span>	<ol><li>example</li><li>model</li></ol>	个|個(<span class="tone4">gè</span>)		
剥	剝	<span class="tone1">bāo</span>	<ol><li>to peel</li><li>to skin</li><li>to shell</li><li>to shuck</li></ol>			<span class="nobr">包</span> <span class="nobr">炮</span>
剥	剝	<span class="tone1">bō</span>	<ol><li>to peel</li><li>to skin</li><li>to flay</li><li>to shuck</li></ol>			<span class="nobr">播</span>
煲		<span class="tone1">bāo</span>	<ol><li>to cook slowly over a low flame</li><li>pot</li><li>saucepan</li></ol>			<span class="nobr">剥</span> <span class="nobr">包</span> <span class="nobr">炮</span>
豹		<span class="tone4">bào</span>	<ol><li>leopard</li><li>panther</li></ol>			<span class="nobr">报</span> <span class="nobr">抱</span> <span class="nobr">爆</span>
报仇	報仇	<span class="tone4">bào</span> <span class="tone2">chóu</span>	<ol><li>to take revenge</li><li>to avenge</li></ol>			
报酬	報酬	<span class="tone4">bào</span> <span class="tone5">chou</span>	<ol><li>reward</li><li>remuneration</li></ol>			
报废	報廢	<span class="tone4">bào</span> <span class="tone4">fèi</span>	<ol><li>to scrap; to dispose of (sth worn-out or damaged)</li></ol>			
暴风骤雨	暴風驟雨	<span class="tone4">bào</span> <span class="tone1">fēng</span> <span class="tone4">zhòu</span> <span class="tone3">yǔ</span>	<ol><li>violent wind and rainstorm</li><li>hurricane</li><li>tempest</li></ol>			
包袱		<span class="tone1">bāo</span> <span class="tone5">fu</span>	<ol><li>wrapping cloth</li><li>a bundle wrapped in cloth</li><li>load</li><li>weight</li><li>burden</li><li>funny part</li><li>punchline</li></ol>			
报复	報復	<span class="tone4">bào</span> <span class="tone4">fù</span>	<ol><li>to make reprisals; to retaliate</li><li>revenge; retaliation</li></ol>			
抱负	抱負	<span class="tone4">bào</span> <span class="tone4">fù</span>	<ol><li>aspiration</li><li>ambition</li></ol>			<span class="nobr">报复</span>
保管		<span class="tone3">bǎo</span> <span class="tone3">guǎn</span>	<ol><li>to hold in safekeeping; to have in one's care</li><li>to guarantee</li><li>certainly; surely</li><li>custodian; curator</li></ol>			
曝光		<span class="tone4">bào</span> <span class="tone1">guāng</span>	<ol><li>to expose (photography)</li><li>(fig.) to expose (a scandal)</li><li>(advertising) exposure</li></ol>		<span class="tone4">pù</span> <span class="tone1">guāng</span>	
饱和	飽和	<span class="tone3">bǎo</span> <span class="tone2">hé</span>	<ol><li>saturated; filled to capacity</li></ol>			
宝库	寶庫	<span class="tone3">bǎo</span> <span class="tone4">kù</span>	<ol><li>treasure-house</li><li>treasury</li><li>treasure-trove (often fig., book of treasured wisdom)</li></ol>			
堡垒	堡壘	<span class="tone3">bǎo</span> <span class="tone3">lěi</span>	<ol><li>fort</li></ol>			
爆冷门	爆冷門	<span class="tone4">bào</span> <span class="tone3">lěng</span> <span class="tone2">mén</span>	<ol><li>an upset (esp. in sports)</li><li>unexpected turn of events</li><li>to pull off a coup</li><li>a breakthrough</li></ol>			
暴利		<span class="tone4">bào</span> <span class="tone4">lì</span>	<ol><li>sudden huge profits</li></ol>			<span class="nobr">暴力</span>
饱满	飽滿	<span class="tone3">bǎo</span> <span class="tone3">mǎn</span>	<ol><li>full</li><li>plump</li></ol>			
爆满	爆滿	<span class="tone4">bào</span> <span class="tone3">mǎn</span>	<ol><li>filled to capacity (of theater, stadium, gymnasium etc)</li></ol>			
保姆		<span class="tone3">bǎo</span> <span class="tone3">mǔ</span>	<ol><li>nanny</li><li>housekeeper</li></ol>			
保暖		<span class="tone3">bǎo</span> <span class="tone3">nuǎn</span>	<ol><li>to keep warm</li></ol>			
包容		<span class="tone1">bāo</span> <span class="tone2">róng</span>	<ol><li>to pardon</li><li>to forgive</li><li>to show tolerance</li><li>to contain</li><li>to hold</li><li>inclusive</li></ol>			
报社	報社	<span class="tone4">bào</span> <span class="tone4">shè</span>	<ol><li>newspaper (i.e. a company)</li></ol>	家(<span class="tone1">jiā</span>)		
报亭	報亭	<span class="tone4">bào</span> <span class="tone2">tíng</span>	<ol><li>kiosk</li><li>newsstand</li></ol>			
保鲜	保鮮	<span class="tone3">bǎo</span> <span class="tone1">xiān</span>	<ol><li>to keep fresh</li></ol>			
报销	報銷	<span class="tone4">bào</span> <span class="tone1">xiāo</span>	<ol><li>to submit an expense account</li><li>to apply for reimbursement</li><li>to write off</li><li>to wipe out</li></ol>			
保修		<span class="tone3">bǎo</span> <span class="tone1">xiū</span>	<ol><li>to promise to keep sth in good repair</li><li>guarantee; warranty</li></ol>			
保佑		<span class="tone3">bǎo</span> <span class="tone4">yòu</span>	<ol><li>to bless and protect</li><li>blessing</li></ol>			
包扎	包紮	<span class="tone1">bāo</span> <span class="tone1">zā</span>	<ol><li>to wrap up</li><li>to pack</li><li>to bind up (a wound)</li></ol>			
宝藏	寶藏	<span class="tone3">bǎo</span> <span class="tone4">zàng</span>	<ol><li>precious mineral deposits</li><li>hidden treasure</li><li>(fig.) treasure</li><li>(Buddhism) the treasure of Buddha's law</li></ol>			
暴躁		<span class="tone4">bào</span> <span class="tone4">zào</span>	<ol><li>irascible; irritable</li></ol>			
保障		<span class="tone3">bǎo</span> <span class="tone4">zhàng</span>	<ol><li>to ensure</li><li>to guarantee</li><li>to safeguard</li></ol>			
保质期	保質期	<span class="tone3">bǎo</span> <span class="tone4">zhì</span> <span class="tone1">qī</span>	<ol><li>shelf life</li><li>expiration date</li></ol>			
保重		<span class="tone3">bǎo</span> <span class="tone4">zhòng</span>	<ol><li>to take care of oneself</li></ol>			
爆竹		<span class="tone4">bào</span> <span class="tone2">zhú</span>	<ol><li>firecracker</li></ol>			
碑		<span class="tone1">bēi</span>	<ol><li>a monument</li><li>an upright stone tablet</li><li>stele</li></ol>	块|塊(<span class="tone4">kuài</span>), 面(<span class="tone4">miàn</span>)		<span class="nobr">杯</span> <span class="nobr">背</span>
悲哀		<span class="tone1">bēi</span> <span class="tone1">āi</span>	<ol><li>grieved</li><li>sorrowful</li></ol>			
卑鄙		<span class="tone1">bēi</span> <span class="tone3">bǐ</span>	<ol><li>base</li><li>mean</li><li>contemptible</li><li>despicable</li></ol>			
被捕		<span class="tone4">bèi</span> <span class="tone3">bǔ</span>	<ol><li>to be arrested</li><li>under arrest</li></ol>			
悲观	悲觀	<span class="tone1">bēi</span> <span class="tone1">guān</span>	<ol><li>pessimistic</li></ol>			
悲欢离合	悲歡離合	<span class="tone1">bēi</span> <span class="tone1">huān</span> <span class="tone2">lí</span> <span class="tone2">hé</span>	<ol><li>joys and sorrows</li><li>partings and reunions</li><li>the vicissitudes of life</li></ol>			
贝壳	貝殼	<span class="tone4">bèi</span> <span class="tone2">ké</span>	<ol><li>shell (of a mollusk)</li></ol>			
备课	備課	<span class="tone4">bèi</span> <span class="tone4">kè</span>	<ol><li>(of a teacher) to prepare lessons</li></ol>			
背面		<span class="tone4">bèi</span> <span class="tone4">miàn</span>	<ol><li>the back</li><li>the reverse side</li><li>the wrong side</li></ol>			
背叛		<span class="tone4">bèi</span> <span class="tone4">pàn</span>	<ol><li>to betray</li></ol>			
备受	備受	<span class="tone4">bèi</span> <span class="tone4">shòu</span>	<ol><li>to fully experience (good or bad)</li></ol>			
背诵	背誦	<span class="tone4">bèi</span> <span class="tone4">sòng</span>	<ol><li>to recite</li><li>to repeat from memory</li></ol>			
悲痛		<span class="tone1">bēi</span> <span class="tone4">tòng</span>	<ol><li>grieved</li><li>sorrowful</li></ol>			
备用	備用	<span class="tone4">bèi</span> <span class="tone4">yòng</span>	<ol><li>reserve</li><li>spare</li><li>alternate</li><li>backup</li></ol>			
奔		<span class="tone4">bèn</span>	<ol><li>to go to</li><li>to head for</li><li>towards</li></ol>		<span class="tone1">bēn</span>	<span class="nobr">笨</span>
奔		<span class="tone1">bēn</span>	<ol><li>to hurry</li><li>to rush</li><li>to run quickly</li><li>to elope</li></ol>			
奔波		<span class="tone1">bēn</span> <span class="tone1">bō</span>	<ol><li>to rush about</li><li>to be constantly on the move</li></ol>			
笨蛋		<span class="tone4">bèn</span> <span class="tone4">dàn</span>	<ol><li>fool</li><li>idiot</li></ol>			
本分		<span class="tone3">běn</span> <span class="tone4">fèn</span>	<ol><li>(to play) one's part</li><li>one's role</li><li>one's duty</li><li>(to stay within) one's bounds</li><li>dutiful</li><li>keeping to one's role</li></ol>			
奔赴		<span class="tone1">bēn</span> <span class="tone4">fù</span>	<ol><li>to rush to</li><li>to hurry to</li></ol>			
本能		<span class="tone3">běn</span> <span class="tone2">néng</span>	<ol><li>instinct</li></ol>			
本钱	本錢	<span class="tone3">běn</span> <span class="tone2">qián</span>	<ol><li>capital</li><li>(fig.) asset; advantage; the means (to do sth)</li></ol>			
本色		<span class="tone3">běn</span> <span class="tone4">sè</span>	<ol><li>inherent qualities</li><li>natural qualities</li><li>distinctive character</li><li>true qualities</li></ol>			
本色		<span class="tone3">běn</span> <span class="tone3">shǎi</span>	<ol><li>natural color</li></ol>			
本性		<span class="tone3">běn</span> <span class="tone4">xìng</span>	<ol><li>natural instincts</li><li>nature</li><li>inherent quality</li></ol>			
本意		<span class="tone3">běn</span> <span class="tone4">yì</span>	<ol><li>original idea</li><li>real intention</li><li>etymon</li></ol>			
本着	本著	<span class="tone3">běn</span> <span class="tone5">zhe</span>	<ol><li>based on...</li><li>in conformance with..</li><li>taking as one's main principle</li></ol>			
笨重		<span class="tone4">bèn</span> <span class="tone4">zhòng</span>	<ol><li>heavy</li><li>cumbersome</li><li>unwieldy</li></ol>			
绷	繃	<span class="tone1">bēng</span>	<ol><li>to draw tight; to stretch taut</li><li>to tack (with thread or pin)</li><li>(bound form) embroidery hoop</li><li>(bound form) woven bed mat</li></ol>			
绷	繃	<span class="tone3">běng</span>	<ol><li>to have a taut face</li></ol>			
蹦		<span class="tone4">bèng</span>	<ol><li>to jump; to bounce; to hop</li></ol>			
绷带	繃帶	<span class="tone1">bēng</span> <span class="tone4">dài</span>	<ol><li>bandage (loanword)</li></ol>			
崩溃	崩潰	<span class="tone1">bēng</span> <span class="tone4">kuì</span>	<ol><li>to collapse; to crumble; to fall apart</li></ol>			
比比皆是		<span class="tone3">bǐ</span> <span class="tone3">bǐ</span> <span class="tone1">jiē</span> <span class="tone4">shì</span>	<ol><li>can be found everywhere</li></ol>			
弊病		<span class="tone4">bì</span> <span class="tone4">bìng</span>	<ol><li>malady</li><li>evil</li><li>malpractice</li><li>drawback</li><li>disadvantage</li></ol>			
必不可少		<span class="tone4">bì</span> <span class="tone4">bù</span> <span class="tone3">kě</span> <span class="tone3">shǎo</span>	<ol><li>absolutely necessary</li><li>indispensable</li><li>essential</li></ol>			
比不上		<span class="tone3">bǐ</span> <span class="tone4">bù</span> <span class="tone4">shàng</span>	<ol><li>can't compare with</li></ol>			
必定		<span class="tone4">bì</span> <span class="tone4">dìng</span>	<ol><li>to be bound to</li><li>to be sure to</li></ol>			
弊端		<span class="tone4">bì</span> <span class="tone1">duān</span>	<ol><li>systemic problem (sometimes refers specifically to corrupt practices)</li></ol>			
壁画	壁畫	<span class="tone4">bì</span> <span class="tone4">huà</span>	<ol><li>mural (painting)</li><li>fresco</li></ol>			
逼近		<span class="tone1">bī</span> <span class="tone4">jìn</span>	<ol><li>to press on towards</li><li>to close in on</li><li>to approach</li><li>to draw near</li></ol>			
碧绿	碧綠	<span class="tone4">bì</span> <span class="tone4">lǜ</span>	<ol><li>dark green</li></ol>			
避难	避難	<span class="tone4">bì</span> <span class="tone4">nàn</span>	<ol><li>refuge</li><li>to take refuge</li><li>to seek asylum (political etc)</li></ol>			
逼迫		<span class="tone1">bī</span> <span class="tone4">pò</span>	<ol><li>to force</li><li>to compel</li><li>to coerce</li></ol>			
比起		<span class="tone3">bǐ</span> <span class="tone3">qǐ</span>	<ol><li>compared with</li></ol>			
比试	比試	<span class="tone3">bǐ</span> <span class="tone4">shì</span>	<ol><li>to have a competition</li><li>to measure with one's hand or arm</li><li>to make a gesture of measuring</li></ol>			<span class="nobr">笔试</span>
鄙视	鄙視	<span class="tone3">bǐ</span> <span class="tone4">shì</span>	<ol><li>to despise</li><li>to disdain</li><li>to look down upon</li></ol>			<span class="nobr">比试</span> <span class="nobr">笔试</span>
避暑		<span class="tone4">bì</span> <span class="tone3">shǔ</span>	<ol><li>to be away for the summer holidays</li><li>to spend a holiday at a summer resort</li><li>to prevent sunstroke</li></ol>			
鼻涕		<span class="tone2">bí</span> <span class="tone4">tì</span>	<ol><li>nasal mucus; snivel; snot</li></ol>			
比喻		<span class="tone3">bǐ</span> <span class="tone4">yù</span>	<ol><li>to compare</li><li>to liken to</li><li>metaphor</li><li>analogy</li><li>figure of speech</li><li>figuratively</li></ol>			
